dataset,index,method,view,fraction,recall,budget,gold,ceiling
vt_h4_c1,17,DT_full_forward,raw,0.2,1.0,66,44,1.0
vt_h4_c1,17,DT_full_forward,density,0.05,0.38636363636363635,17,44,0.38636363636363635
vt_h4_c1,17,DT_full_forward,density,0.1,0.75,33,44,0.75
vt_h4_c1,17,DT_full_forward,density,0.2,1.0,66,44,1.0
vt_h4_c1,17,DT_full_reverse,raw,0.05,0.38636363636363635,17,44,0.38636363636363635
vt_h4_c1,17,DT_full_reverse,raw,0.1,0.75,33,44,0.75
vt_h4_c1,17,DT_full_reverse,raw,0.2,1.0,66,44,1.0
vt_h4_c1,17,DT_full_reverse,density,0.05,0.38636363636363635,17,44,0.38636363636363635
vt_h4_c1,17,DT_full_reverse,density,0.1,0.75,33,44,0.75
vt_h4_c1,17,DT_full_reverse,density,0.2,1.0,66,44,1.0
vt_h4_c1,17,DT_body_symmetric,raw,0.05,0.36363636363636365,17,44,0.38636363636363635
vt_h4_c1,17,DT_body_symmetric,raw,0.1,0.6136363636363636,33,44,0.75
vt_h4_c1,17,DT_body_symmetric,raw,0.2,0.8409090909090909,66,44,1.0
vt_h4_c1,17,DT_body_symmetric,density,0.05,0.38636363636363635,17,44,0.38636363636363635
vt_h4_c1,17,DT_body_symmetric,density,0.1,0.6363636363636364,33,44,0.75
vt_h4_c1,17,DT_body_symmetric,density,0.2,1.0,66,44,1.0
vt_h4_c1,17,DT_full_symmetric,raw,0.05,0.38636363636363635,17,44,0.38636363636363635
vt_h4_c1,17,DT_full_symmetric,raw,0.1,0.75,33,44,0.75
vt_h4_c1,17,DT_full_symmetric,raw,0.2,1.0,66,44,1.0
vt_h4_c1,17,DT_full_symmetric,density,0.05,0.38636363636363635,17,44,0.38636363636363635
vt_h4_c1,17,DT_full_symmetric,density,0.1,0.75,33,44,0.75
vt_h4_c1,17,DT_full_symmetric,density,0.2,1.0,66,44,1.0
vt_h4_c1,17,FT_K1,raw,0.05,0.38636363636363635,17,44,0.38636363636363635
vt_h4_c1,17,FT_K1,raw,0.1,0.75,33,44,0.75
vt_h4_c1,17,FT_K1,raw,0.2,1.0,66,44,1.0
vt_h4_c1,17,FT_K1,density,0.05,0.38636363636363635,17,44,0.38636363636363635
vt_h4_c1,17,FT_K1,density,0.1,0.75,33,44,0.75
vt_h4_c1,17,FT_K1,density,0.2,1.0,66,44,1.0
vt_h4_c1,17,FT_K3,raw,0.05,0.38636363636363635,17,44,0.38636363636363635
vt_h4_c1,17,FT_K3,raw,0.1,0.75,33,44,0.75
vt_h4_c1,17,FT_K3,raw,0.2,1.0,66,44,1.0
vt_h4_c1,17,FT_K3,density,0.05,0.38636363636363635,17,44,0.38636363636363635
vt_h4_c1,17,FT_K3,density,0.1,0.75,33,44,0.75
vt_h4_c1,17,FT_K3,density,0.2,1.0,66,44,1.0
vt_h4_c1,18,DT_body_forward,raw,0.05,0.35555555555555557,17,45,0.37777777777777777
vt_h4_c1,18,DT_body_forward,raw,0.1,0.6666666666666666,33,45,0.7333333333333333
vt_h4_c1,18,DT_body_forward,raw,0.2,0.8666666666666667,66,45,1.0
vt_h4_c1,18,DT_body_forward,density,0.05,0.37777777777777777,17,45,0.37777777777777777
vt_h4_c1,18,DT_body_forward,density,0.1,0.6222222222222222,33,45,0.7333333333333333
vt_h4_c1,18,DT_body_forward,density,0.2,1.0,66,45,1.0
vt_h4_c1,18,DT_body_reverse,raw,0.05,0.3333333333333333,17,45,0.37777777777777777
vt_h4_c1,18,DT_body_reverse,raw,0.1,0.6444444444444445,33,45,0.7333333333333333
vt_h4_c1,18,DT_body_reverse,raw,0.2,0.8222222222222222,66,45,1.0
vt_h4_c1,18,DT_body_reverse,density,0.05,0.37777777777777777,17,45,0.37777777777777777
vt_h4_c1,18,DT_body_reverse,density,0.1,0.6222222222222222,33,45,0.7333333333333333
vt_h4_c1,18,DT_body_reverse,density,0.2,1.0,66,45,1.0
vt_h4_c1,18,DT_full_forward,raw,0.05,0.37777777777777777,17,45,0.37777777777777777
vt_h4_c1,18,DT_full_forward,raw,0.1,0.7333333333333333,33,45,0.7333333333333333
vt_h4_c1,18,DT_full_forward,raw,0.2,1.0,66,45,1.0
vt_h4_c1,18,DT_full_forward,density,0.05,0.37777777777777777,17,45,0.37777777777777777
vt_h4_c1,18,DT_full_forward,density,0.1,0.7333333333333333,33,45,0.7333333333333333
vt_h4_c1,18,DT_full_forward,density,0.2,1.0,66,45,1.0
vt_h4_c1,18,DT_full_reverse,raw,0.05,0.37777777777777777,17,45,0.37777777777777777
vt_h4_c1,18,DT_full_reverse,raw,0.1,0.7333333333333333,33,45,0.7333333333333333
vt_h4_c1,18,DT_full_reverse,raw,0.2,1.0,66,45,1.0
vt_h4_c1,18,DT_full_reverse,density,0.05,0.37777777777777777,17,45,0.37777777777777777
vt_h4_c1,18,DT_full_reverse,density,0.1,0.7333333333333333,33,45,0.7333333333333333
vt_h4_c1,18,DT_full_reverse,density,0.2,1.0,66,45,1.0
vt_h4_c1,18,DT_body_symmetric,raw,0.05,0.35555555555555557,17,45,0.37777777777777777
vt_h4_c1,18,DT_body_symmetric,raw,0.1,0.6444444444444445,33,45,0.7333333333333333
vt_h4_c1,18,DT_body_symmetric,raw,0.2,0.8888888888888888,66,45,1.0
vt_h4_c1,18,DT_body_symmetric,density,0.05,0.37777777777777777,17,45,0.37777777777777777
vt_h4_c1,18,DT_body_symmetric,density,0.1,0.6222222222222222,33,45,0.7333333333333333
vt_h4_c1,18,DT_body_symmetric,density,0.2,1.0,66,45,1.0
vt_h4_c1,18,DT_full_symmetric,raw,0.05,0.37777777777777777,17,45,0.37777777777777777
vt_h4_c1,18,DT_full_symmetric,raw,0.1,0.7333333333333333,33,45,0.7333333333333333
vt_h4_c1,18,DT_full_symmetric,raw,0.2,1.0,66,45,1.0
vt_h4_c1,18,DT_full_symmetric,density,0.05,0.37777777777777777,17,45,0.37777777777777777
vt_h4_c1,18,DT_full_symmetric,density,0.1,0.7333333333333333,33,45,0.7333333333333333
vt_h4_c1,18,DT_full_symmetric,density,0.2,1.0,66,45,1.0
vt_h4_c1,18,FT_K1,raw,0.05,0.37777777777777777,17,45,0.37777777777777777
vt_h4_c1,18,FT_K1,raw,0.1,0.7333333333333333,33,45,0.7333333333333333
vt_h4_c1,18,FT_K1,raw,0.2,1.0,66,45,1.0
vt_h4_c1,18,FT_K1,density,0.05,0.37777777777777777,17,45,0.37777777777777777
vt_h4_c1,18,FT_K1,density,0.1,0.7333333333333333,33,45,0.7333333333333333
vt_h4_c1,18,FT_K1,density,0.2,1.0,66,45,1.0
vt_h4_c1,18,FT_K3,raw,0.05,0.37777777777777777,17,45,0.37777777777777777
vt_h4_c1,18,FT_K3,raw,0.1,0.7333333333333333,33,45,0.7333333333333333
vt_h4_c1,18,FT_K3,raw,0.2,1.0,66,45,1.0
vt_h4_c1,18,FT_K3,density,0.05,0.37777777777777777,17,45,0.37777777777777777
vt_h4_c1,18,FT_K3,density,0.1,0.7333333333333333,33,45,0.7333333333333333
vt_h4_c1,18,FT_K3,density,0.2,1.0,66,45,1.0
vt_h4_c1,21,DT_body_forward,raw,0.05,0.32,17,50,0.34
vt_h4_c1,21,DT_body_forward,raw,0.1,0.64,34,50,0.68
vt_h4_c1,21,DT_body_forward,raw,0.2,0.94,67,50,1.0
