Method,RISE,MAS,RISE+AP
Seq Attr Scores Mean,0.3440552154628139,0.48351587297991017,0.5080766655612733
Row Attr Scores Mean,0.3538263835425453,0.516787195621676,0.5532143129444048
Recursive Attr Scores Mean,0.34582413789973465,0.4887801141598021,0.5169919037867786
Seq Attr Scores Var,0.06194048146207602,0.10700239256930276,0.11253811128823452
Row Attr Scores Var,0.0625783966988193,0.11053798100734018,0.12071523192707376
Recursive Attr Scores Var,0.061204228510218756,0.10580950067419018,0.11440382844867805
Avg Sample Time (s),16.20236440497916
