Method,RISE,MAS,RISE+AP
Seq Attr Scores Mean,0.3247048656627535,0.4099510085992516,0.4207858822645074
Row Attr Scores Mean,0.3277037882932045,0.4199060462695556,0.4343017416921797
Recursive Attr Scores Mean,0.3253332479155666,0.4140117487385316,0.4276832725368552
Seq Attr Scores Var,0.05227242788402057,0.08089143198994142,0.08112461363482666
Row Attr Scores Var,0.05116931659741867,0.0825461009817665,0.08244599925273552
Recursive Attr Scores Var,0.0509582836516206,0.08038941833860863,0.08032152983741049
Avg Sample Time (s),16.29905497030355
