Method,RISE,MAS,RISE+AP
Seq Attr Scores Mean,0.0883118632099632,0.15121857036170525,0.15121860496555706
Row Attr Scores Mean,0.10179965659404848,0.14791182090704336,0.14940349839407863
Recursive Attr Scores Mean,0.09542642864584495,0.14882885466345638,0.14904624289592205
Seq Attr Scores Var,0.011673723545897774,0.0055790322795504,0.005579037529448616
Row Attr Scores Var,0.012031175102499103,0.011528077434126496,0.01294735686454026
Recursive Attr Scores Var,0.011402733584931955,0.0089972076060816,0.009198146689738819
Avg Sample Time (s),51.36705649541225
