attr_func,target_input_tokens,target_output_tokens,target_total_tokens,time_mean,time_std,peak_mem_mean,peak_mem_std,statuses
attention_I_G,128,32,160,68.3203,49.6726,66.3050,0.0169,ok|ok|ok
attention_I_G,256,32,288,,,67.1613,0.0000,oom|oom|oom
attention_I_G,512,32,544,,,67.1599,0.0020,oom|oom|oom
attention_I_G,1024,32,1056,,,67.0292,0.0000,oom|oom|oom
