dataset,n,DT_raw,FT_K3_raw,raw_difference,DT_sentence_mean,FT_K3_sentence_mean,sentence_mean_difference,mean_budget_ceiling
vt_h2_c3,100,0.8561683667365675,0.7241013162207546,0.13206705051581302,1.0,1.0,0.0,1.0
vt_h4_c1,100,0.713278216875607,0.6831578266047122,0.03012039027089459,0.7137228809072274,0.7137228809072274,0.0,0.7137228809072274
vt_h6_c1,100,0.5123060792990306,0.5123060792990306,0.0,0.5123060792990306,0.5123060792990306,0.0,0.5123060792990306
vt_h10_c1,100,0.3260639836955653,0.3260639836955653,0.0,0.3260639836955653,0.3260639836955653,0.0,0.3260639836955653
hotpotqa_long,48,0.4063371921011904,0.45345238657907183,-0.04711519447788152,0.7381444180831901,0.7208620695981084,0.017282348485081676,0.9747982328299564
VT,400,0.6019541616516926,0.5614073014550157,0.04054686019667689,0.6380232359754558,0.6380232359754558,0.0,0.6380232359754558
all_five_tasks,448,0.5628307677415921,0.5398163184798269,0.023014449261765203,0.6580474723970027,0.6545910026999864,0.003456469697016336,0.7053782353463559
