dataset,index,method,target_mode,aggregation,view,budget_unit,fraction,eligible,gold,budget,gold_density,ceiling,random_expected_recall,recall,precision,ceiling_adjusted_recall,cutoff,cutoff_tie_size,recall_tie_low,recall_tie_high,all_body_tokens,f1,exact_match,complete_support,true_positive,predicted,token_recall,spent_tokens,unused_tokens,selected_sentences,empty_selection,fact_recall_ceiling
vt_h2_c3,1,DT,answer_only,signed_sum,raw,eligible_body_tokens,0.2,330,27,66,0.08181818181818182,1.0,0.2,0.9629629629629629,0.3939393939393939,0.9629629629629629,0.04653461277484894,1,0.9629629629629629,0.9629629629629629,,,,,,,,,,,,
vt_h2_c3,1,DT,answer_only,signed_sum,density,eligible_body_tokens,0.05,330,27,17,0.08181818181818182,0.6296296296296297,0.051515151515151514,0.6296296296296297,1.0,1.0,314.0,1,0.6296296296296297,0.6296296296296297,,,,,,,,,,,,
vt_h2_c3,1,DT,answer_only,signed_sum,density,eligible_body_tokens,0.1,330,27,33,0.08181818181818182,1.0,0.1,1.0,0.8181818181818182,1.0,298.0,1,1.0,1.0,,,,,,,,,,,,
vt_h2_c3,1,DT,answer_only,signed_sum,density,eligible_body_tokens,0.2,330,27,66,0.08181818181818182,1.0,0.2,1.0,0.4090909090909091,1.0,265.0,1,1.0,1.0,,,,,,,,,,,,
vt_h2_c3,1,FT_K3,answer_only,signed_sum,raw,eligible_body_tokens,0.05,330,27,17,0.08181818181818182,0.6296296296296297,0.051515151515151514,0.5555555555555556,0.8823529411764706,0.8823529411764706,0.09619104862213135,1,0.5555555555555556,0.5555555555555556,,,,,,,,,,,,
vt_h2_c3,1,FT_K3,answer_only,signed_sum,raw,eligible_body_tokens,0.1,330,27,33,0.08181818181818182,1.0,0.1,0.7407407407407407,0.6060606060606061,0.7407407407407407,0.05789179727435112,1,0.7407407407407407,0.7407407407407407,,,,,,,,,,,,
vt_h2_c3,1,FT_K3,answer_only,signed_sum,raw,eligible_body_tokens,0.2,330,27,66,0.08181818181818182,1.0,0.2,0.9629629629629629,0.3939393939393939,0.9629629629629629,0.03407784923911095,1,0.9629629629629629,0.9629629629629629,,,,,,,,,,,,
vt_h2_c3,1,FT_K3,answer_only,signed_sum,density,eligible_body_tokens,0.05,330,27,17,0.08181818181818182,0.6296296296296297,0.051515151515151514,0.6296296296296297,1.0,1.0,314.0,1,0.6296296296296297,0.6296296296296297,,,,,,,,,,,,
vt_h2_c3,1,FT_K3,answer_only,signed_sum,density,eligible_body_tokens,0.1,330,27,33,0.08181818181818182,1.0,0.1,1.0,0.8181818181818182,1.0,298.0,1,1.0,1.0,,,,,,,,,,,,
vt_h2_c3,1,FT_K3,answer_only,signed_sum,density,eligible_body_tokens,0.2,330,27,66,0.08181818181818182,1.0,0.2,1.0,0.4090909090909091,1.0,265.0,1,1.0,1.0,,,,,,,,,,,,
