dataset,method,aggregation,view,budget_unit,fraction,n,precision,recall,f1,exact_match,complete_support,token_recall,fact_recall_ceiling,spent_tokens,unused_tokens,selected_sentences,empty_selection,ceiling,budget,recall_tie_low,recall_tie_high
hotpotqa_long,AttnLRP,native_positive_normalized,native_sentence,all_body_tokens,0.05,48,0.5885416666666666,0.3697916666666667,0.4295138888888889,0.020833333333333332,0.0625,0.3591378526411457,0.65625,43.395833333333336,22.125,1.3333333333333333,0.1875,,,,
hotpotqa_long,AttnLRP,native_positive_normalized,native_sentence,all_body_tokens,0.1,48,0.6587301587301586,0.7274305555555555,0.6542989417989418,0.125,0.4166666666666667,0.7280368292789747,0.9305555555555555,110.04166666666667,20.520833333333332,3.0833333333333335,0.0,,,,
hotpotqa_long,AttnLRP,native_positive_normalized,native_sentence,all_body_tokens,0.2,48,0.4263806216931217,0.9027777777777777,0.5570034132534133,0.041666666666666664,0.75,0.9033869084988112,1.0,234.89583333333334,25.625,6.166666666666667,0.0,,,,
hotpotqa_long,AttnLRP,native_positive_normalized,native_sentence,sentences,2,48,0.75,0.5989583333333334,0.654861111111111,0.1875,0.1875,0.6000267056594909,0.829861111111111,74.85416666666667,0.0,2.0,0.0,,,,
hotpotqa_long,AttnLRP,native_positive_normalized,native_sentence,sentences,4,48,0.546875,0.8524305555555555,0.6545138888888888,0.041666666666666664,0.6041666666666666,0.8549511858036446,1.0,157.375,0.0,4.0,0.0,,,,
hotpotqa_long,AttnLRP,native_positive_normalized,native_sentence,sentences,8,48,0.3072916666666667,0.9496527777777778,0.45776515151515146,0.0,0.875,0.9407585444771701,1.0,316.8958333333333,0.0,8.0,0.0,,,,
hotpotqa_long,AttnLRP,signed_sum,native_sentence,all_body_tokens,0.05,48,0.609375,0.3802083333333333,0.44340277777777776,0.020833333333333332,0.0625,0.3703926419131764,0.65625,43.0625,22.458333333333332,1.3333333333333333,0.1875,,,,
hotpotqa_long,AttnLRP,signed_sum,native_sentence,all_body_tokens,0.1,48,0.6614583333333334,0.7482638888888888,0.6630952380952381,0.125,0.4583333333333333,0.7438860081899513,0.9305555555555555,112.60416666666667,17.958333333333332,3.1666666666666665,0.0,,,,
hotpotqa_long,AttnLRP,signed_sum,native_sentence,all_body_tokens,0.2,48,0.41791952260702253,0.9288194444444443,0.5557669182669183,0.020833333333333332,0.8125,0.9330669623385289,1.0,236.16666666666666,24.354166666666668,6.395833333333333,0.0,,,,
hotpotqa_long,AttnLRP,signed_sum,native_sentence,sentences,2,48,0.7604166666666666,0.609375,0.6652777777777777,0.20833333333333334,0.20833333333333334,0.6139894716169376,0.829861111111111,74.72916666666667,0.0,2.0,0.0,,,,
hotpotqa_long,AttnLRP,signed_sum,native_sentence,sentences,4,48,0.5572916666666666,0.8732638888888888,0.6684027777777777,0.041666666666666664,0.6458333333333334,0.8742743101240505,1.0,151.77083333333334,0.0,4.0,0.0,,,,
hotpotqa_long,AttnLRP,signed_sum,native_sentence,sentences,8,48,0.3151041666666667,0.9774305555555557,0.46988636363636366,0.0,0.9375,0.9808309837092732,1.0,305.6458333333333,0.0,8.0,0.0,,,,
hotpotqa_long,CLP,native_positive_normalized,native_sentence,all_body_tokens,0.05,48,0.24652777777777776,0.13020833333333334,0.16111111111111112,0.0,0.0,0.15361119340866106,0.65625,43.208333333333336,22.3125,1.2083333333333333,0.1875,,,,
hotpotqa_long,CLP,native_positive_normalized,native_sentence,all_body_tokens,0.1,48,0.3996527777777777,0.4322916666666667,0.38705357142857144,0.0,0.08333333333333333,0.47385473693678265,0.9305555555555555,112.70833333333333,17.854166666666668,3.0833333333333335,0.0,,,,
hotpotqa_long,CLP,native_positive_normalized,native_sentence,all_body_tokens,0.2,48,0.3127517736892737,0.7135416666666666,0.4195083851333851,0.0,0.4166666666666667,0.7484580396226,1.0,231.95833333333334,28.5625,6.4375,0.0,,,,
hotpotqa_long,CLP,native_positive_normalized,native_sentence,sentences,2,48,0.3541666666666667,0.2864583333333333,0.3111111111111111,0.041666666666666664,0.041666666666666664,0.3388150301872221,0.829861111111111,80.8125,0.0,2.0,0.0,,,,
hotpotqa_long,CLP,native_positive_normalized,native_sentence,sentences,4,48,0.359375,0.5694444444444444,0.43303571428571425,0.0,0.1875,0.6250405810749032,1.0,154.02083333333334,0.0,4.0,0.0,,,,
hotpotqa_long,CLP,native_positive_normalized,native_sentence,sentences,8,48,0.25,0.7760416666666666,0.3729166666666666,0.0,0.4791666666666667,0.8078761710948769,1.0,318.6458333333333,0.0,8.0,0.0,,,,
hotpotqa_long,CLP,signed_sum,native_sentence,all_body_tokens,0.05,48,0.2586805555555555,0.15277777777777776,0.17777777777777778,0.0,0.0,0.17061243744465618,0.65625,45.4375,20.083333333333332,1.3333333333333333,0.14583333333333334,,,,
hotpotqa_long,CLP,signed_sum,native_sentence,all_body_tokens,0.1,48,0.3649801587301587,0.4288194444444444,0.3669477513227513,0.0,0.0625,0.450715767227714,0.9305555555555555,111.45833333333333,19.104166666666668,3.375,0.0,,,,
