method,vt_h2_c3,vt_h4_c1,vt_h6_c1,vt_h10_c1,hotpotqa_long,vt_macro
DT,0.8561683667365675,0.713278216875607,0.5123060792990306,0.3260639836955653,0.720486111111111,0.6019541616516926
FT_K3,0.7241013162207546,0.6831578266047122,0.5123060792990306,0.3260639836955653,0.6666666666666666,0.5614073014550157
Perturbation,0.2669265947432661,0.1886202764433176,0.15784615429180116,0.11156209489397567,0.375,0.18123878009309013
REAGENT,0.2665932614099328,0.1757628653264436,0.15952669363427538,0.11165244136430846,0.34722222222222215,0.17838381543374005
CLP,0.29100392066117875,0.20534667701739093,0.17062758444913664,0.1311516581117102,0.4288194444444444,0.19953246005985414
IFR,0.8115861877971859,0.7008878281433754,0.5123060792990306,0.3260639836955653,0.7586805555555555,0.5877110197337894
AttnLRP,0.8336933535169768,0.7053854516277543,0.5123060792990306,0.3260639836955653,0.7482638888888888,0.5943622170348318
FT_K1,0.7332635465999622,0.685488725364575,0.5123060792990306,0.3260639836955653,0.6753472222222222,0.5642805837397833
