series,method,output_tokens,status,seconds,min_seconds,max_seconds,repeats,devices,actual_formatted_prompt_tokens,actual_generation_tokens,actual_total_tokens,peak_allocated_gb,peak_reserved_gb,source,source_sha256
released_reference,AttnLRP,5000,ok,9832.780079841614,9832.780079841614,9832.780079841614,1,6,27,5001,,,,,
released_reference,CLP,10,ok,1.1640970706939697,1.000605583190918,1.4300734996795654,3,8,27,11,,,,,
released_reference,CLP,100,ok,15.155133565266928,14.664300203323364,16.100517511367798,3,8,27,101,,,,,
released_reference,CLP,500,ok,284.7837414741516,284.7837414741516,284.7837414741516,1,6,27,501,,,,,
released_reference,CLP,1000,ok,1411.3073930740356,1411.3073930740356,1411.3073930740356,1,6,27,1001,,,,,
released_reference,CLP,2000,ok,12165.333572149277,12165.333572149277,12165.333572149277,1,6,27,2001,,,,,
released_reference,IFR,10,ok,0.6073726018269857,0.6019012928009033,0.6101698875427246,3,8,27,11,,,,,
released_reference,IFR,100,ok,3.8386150201161704,3.7293355464935303,3.924586534500122,3,8,27,101,,,,,
released_reference,IFR,500,ok,34.9071147441864,34.9071147441864,34.9071147441864,1,6,27,501,,,,,
released_reference,IFR,1000,ok,111.18362951278687,111.18362951278687,111.18362951278687,1,6,27,1001,,,,,
released_reference,IFR,2000,ok,391.56280994415283,391.56280994415283,391.56280994415283,1,6,27,2001,,,,,
released_reference,IFR,5000,ok,2294.8040568828583,2294.8040568828583,2294.8040568828583,1,6,27,5001,,,,,
released_reference,IG,10,ok,7.7783645788828535,7.0641632080078125,9.000084400177002,3,8,27,11,,,,,
released_reference,IG,100,ok,107.80812223752339,106.98123669624329,109.22926640510559,3,8,27,101,,,,,
released_reference,IG,500,ok,1154.050291776657,1154.050291776657,1154.050291776657,1,6,27,501,,,,,
released_reference,IG,1000,ok,4334.202370405197,4334.202370405197,4334.202370405197,1,6,27,1001,,,,,
released_reference,IG × Attention,10,ok,8.558468500773111,8.501598119735718,8.618671894073486,3,8,27,11,,,,,
released_reference,IG × Attention,100,ok,118.45725242296855,117.44098258018494,120.33685398101807,3,8,27,101,,,,,
released_reference,IG × Attention,500,ok,1213.1849825382233,1213.1849825382233,1213.1849825382233,1,6,27,501,,,,,
released_reference,IG × Attention,1000,ok,4510.529144287109,4510.529144287109,4510.529144287109,1,6,27,1001,,,,,
released_reference,Perturbation,10,ok,1.285354455312093,1.083836317062378,1.4368832111358643,3,8,27,11,,,,,
released_reference,Perturbation,100,ok,20.17747934659322,18.08539366722107,23.916614770889282,3,8,27,101,,,,,
released_reference,Perturbation,500,ok,344.15932059288025,344.15932059288025,344.15932059288025,1,6,27,501,,,,,
released_reference,Perturbation,1000,ok,1507.4076030254364,1507.4076030254364,1507.4076030254364,1,6,27,1001,,,,,
released_reference,Perturbation,2000,ok,12187.562428236008,12187.562428236008,12187.562428236008,1,6,27,2001,,,,,
released_reference,REAGENT,10,ok,1.5782148838043213,1.3501899242401123,1.848527193069458,3,8,27,11,,,,,
released_reference,REAGENT,100,ok,25.60586937268575,25.470690965652466,25.809046983718872,3,8,27,101,,,,,
released_reference,REAGENT,500,ok,465.3287510871887,465.3287510871887,465.3287510871887,1,6,27,501,,,,,
released_reference,REAGENT,1000,ok,2173.440418243408,2173.440418243408,2173.440418243408,1,6,27,1001,,,,,
released_reference,REAGENT,2000,ok,16030.955978631973,16030.955978631973,16030.955978631973,1,6,27,2001,,,,,
