Method,RISE,MAS,RISE+AP
Seq Attr Scores Mean,0.18706977485213372,0.2492895658753994,0.2561548996827171
Row Attr Scores Mean,0.1861629844042408,0.2435981599277158,0.24995062383738212
Recursive Attr Scores Mean,0.18893432520128783,0.24976137748305155,0.2567187631946028
Seq Attr Scores Var,0.061712831315157354,0.07821988386447552,0.08327322558485407
Row Attr Scores Var,0.06056083892385289,0.0834774308070607,0.08698950411038234
Recursive Attr Scores Var,0.06161459312576099,0.08178577474024291,0.08585522504245262
Avg Sample Time (s),14.774355221251026
