group,cases,all_complete_vectors_equal,baseline_seconds,baseline_peak_bytes,baseline_first_shape_seconds,accelerated_seconds,accelerated_peak_bytes,accelerated_first_shape_seconds,reduction_fraction
0,"niah_mq_q2_3,niah_mq_q2_0",True,1.0234454972669482,21983608832,16.271914143115282,0.9560826485976577,21983538688,2.4619645718485117,0.06581967368968755
1,"niah_mq_q2_6,niah_mq_q2_4",True,1.862511845305562,23220025856,5.252279622480273,1.7802140833809972,23141873152,1.7677005864679813,0.04418643679072176
2,"niah_mq_q2_7,niah_mq_q2_1",True,2.0826844880357385,23317222400,5.495436986908317,1.9809857364743948,23237336064,1.978689055889845,0.04883060883468704
3,"niah_mq_q2_5,niah_mq_q2_2",True,2.093770045787096,23411122688,5.4840958919376135,1.991606599651277,23329490944,1.9941605851054192,0.04879401457738086
4,"morehopqa_5,morehopqa_1",True,0.6979640545323491,20918124544,4.011306522414088,0.6659069359302521,20918054400,0.6478876583278179,0.045929469281302704
5,"morehopqa_6,morehopqa_7",True,0.946486852131784,21648528384,4.298949785530567,0.8866461617872119,21648458240,0.9027850721031427,0.06322400592231381
6,"morehopqa_2,morehopqa_4",True,1.2988111563026905,23628948480,4.729392668232322,1.231807118281722,23628878336,1.247067740187049,0.0515887453659607
7,"morehopqa_3,morehopqa_0",True,1.4746196195483208,23463571456,4.835909307003021,1.3959479313343763,23463641600,1.384188098832965,0.05335049606761755
