family,method,target_input_tokens,actual_formatted_prompt_tokens,actual_generation_tokens,actual_total_tokens,phase,n_runs,n_ok,seconds_mean,seconds_std,peak_allocated_gb,peak_reserved_gb,audit_finite,valid_timing,audit_observed_root_calls,audit_max_observed_sequence_tokens
qwen3,perturbation_CLP,512,445,33,478,original3,3,3,44.04652380943298,0.35299875116108564,23.276887552,25.813843968,True,True,537,478
qwen3,perturbation_CLP,1024,872,33,905,original3,3,3,146.80858699480692,1.230915061234284,31.384974848,39.46840064,True,True,1047,905
qwen3,perturbation_all,128,125,33,158,original3,3,3,7.982493162155151,1.2982865566868027,18.680036352,18.754830336,True,True,153,158
qwen3,perturbation_all,256,232,33,265,original3,3,3,14.50120727221171,0.09398752398068362,19.902654976,20.455620608,True,True,279,265
qwen3,perturbation_all,512,445,33,478,original3,3,3,40.53268535931905,0.09028615360617824,22.983652864,24.807211008,True,True,537,478
qwen3,perturbation_all,1024,872,33,905,original3,3,3,146.2328778107961,1.1519325090969308,30.837335552,38.447087616,True,True,1047,905
qwen35,IG,128,124,33,157,original3,3,3,140.80899278322855,154.98935969078138,63.256766464,66.305654784,True,True,0,
qwen35,IG,256,231,33,264,original3,3,0,,,,,,False,,
qwen35,IG,512,444,33,477,original3,3,0,,,,,,False,,
qwen35,IG,1024,871,33,904,original3,3,0,,,,,,False,,
qwen35,attention_I_G,128,124,33,157,original3,3,3,68.3203227519989,49.67256293643283,63.255090688,66.328723456,True,True,0,
qwen35,attention_I_G,256,231,33,264,original3,3,0,,,,,,False,,
qwen35,attention_I_G,512,444,33,477,original3,3,0,,,,,,False,,
qwen35,attention_I_G,1024,871,33,904,original3,3,0,,,,,,False,,
qwen35,attnlrp,128,124,33,157,original3,3,3,23.607152620951336,27.7472699807952,38.363844096,38.52468224,True,True,0,
qwen35,attnlrp,256,231,33,264,original3,3,3,11.768682718276978,9.690719194293445,39.40745216,39.673921536,True,True,0,
qwen35,attnlrp,512,444,33,477,original3,3,3,13.108041683832804,9.66034601950091,41.576010752,42.01644032,True,True,0,
qwen35,attnlrp,1024,871,33,904,original3,3,3,16.686436732610066,9.794225256279637,45.975706112,47.326429184,True,True,0,
qwen35,deltatrace_retained,128,124,33,157,original3,3,3,14.414923508961996,19.66110574480699,19.361798656,19.448987648,True,True,1,157
qwen35,deltatrace_retained,128,124,33,157,warm3,3,3,0.5139623483022054,0.0015565446164567624,19.17167872,19.239272448,True,True,1,157
qwen35,deltatrace_retained,256,231,33,264,original3,3,3,3.718457301457723,4.51501734659601,19.361981952,19.457376256,True,True,1,264
qwen35,deltatrace_retained,256,231,33,264,warm3,3,3,0.5310631593068441,0.0035994943403284845,19.36068608,19.457376256,True,True,1,264
