Method,RISE,MAS,RISE+AP
Seq Attr Scores Mean,0.23560071528619236,0.31777994303753565,0.32757423500184557
Row Attr Scores Mean,0.23892953972796993,0.32701285032074956,0.3384589089782454
Recursive Attr Scores Mean,0.2411895308251966,0.3305510180704473,0.3440559075470078
Seq Attr Scores Var,0.09435328035042401,0.13378289436175597,0.1368671421372697
Row Attr Scores Var,0.09709373566940363,0.14334680233332722,0.14757896726174263
Recursive Attr Scores Var,0.09810264182299437,0.14227768171080005,0.14961615200551573
Avg Sample Time (s),14.445194901912473
