Method,RISE,MAS,RISE+AP
Seq Attr Scores Mean,0.24796633748408284,0.3100505412194259,0.3145465963175775
Row Attr Scores Mean,0.25336391466813973,0.32030390488205646,0.32479690840679604
Recursive Attr Scores Mean,0.25343374780761685,0.3197213933324807,0.324249866162894
Seq Attr Scores Var,0.09702429337772923,0.11405871476085636,0.11642977421246886
Row Attr Scores Var,0.10305667860036083,0.12702314176994384,0.12896959717403014
Recursive Attr Scores Var,0.10207479761986418,0.12569517339213587,0.12773535967287727
Avg Sample Time (s),14.618623290355318
