Method,RISE,MAS,RISE+AP
Seq Attr Scores Mean,0.2701250270936323,0.3672552491096286,0.3751698020691737
Row Attr Scores Mean,0.25990910282039664,0.35738017102627073,0.36663530243829023
Recursive Attr Scores Mean,0.27750433335464586,0.38068459071960115,0.39296030904795215
Seq Attr Scores Var,0.10662061802545221,0.15227606480663766,0.1568265773783907
Row Attr Scores Var,0.1022373157292254,0.1508747214538648,0.1554919526232972
Recursive Attr Scores Var,0.10206062458380732,0.14941728146961133,0.15678009090851577
Avg Sample Time (s),23.837426856197418
