Method,RISE,MAS,RISE+AP
Seq Attr Scores Mean,0.35732583966110615,0.5914958150133687,0.6201995629067107
Row Attr Scores Mean,0.35732583966110615,0.5914958140309188,0.6201995579628179
Recursive Attr Scores Mean,0.35732583966110615,0.5914958133936404,0.6201995579759398
Seq Attr Scores Var,0.041123862108815586,0.07173143627081564,0.08189193397068266
Row Attr Scores Var,0.041123862108815586,0.07173142362735332,0.0818919190533764
Recursive Attr Scores Var,0.041123862108815586,0.07173143268859661,0.08189192730097494
Avg Sample Time (s),22.330413351198658
