Method,RISE,MAS,RISE+AP
Seq Attr Scores Mean,0.48714582371236614,0.72312990691593,0.7938012754990091
Row Attr Scores Mean,0.4952616507601194,0.7404921724829001,0.8254587616917219
Recursive Attr Scores Mean,0.4988266430651713,0.7375563518942302,0.814502734230567
Seq Attr Scores Var,0.05888707819181514,0.10213401862994485,0.12514380706457054
Row Attr Scores Var,0.05616802085711608,0.08943452242361641,0.11053793071084882
Recursive Attr Scores Var,0.058816127117062855,0.09714010415459724,0.11934855602086863
Avg Sample Time (s),23.551470650611446
