Method,RISE,MAS,RISE+AP
Seq Attr Scores Mean,0.1299294906810042,0.19207661610459537,0.1921740941906342
Row Attr Scores Mean,0.1525986117827446,0.20107533680564513,0.20884969583373497
Recursive Attr Scores Mean,0.14595230114016372,0.19798146386073273,0.19984902097312884
Seq Attr Scores Var,0.014533454096857579,0.006805554639266445,0.0070086210446641565
Row Attr Scores Var,0.015098465292494926,0.015602592159962412,0.018737979433874875
Recursive Attr Scores Var,0.015889762636103404,0.01304286173826254,0.013976143763670307
Avg Sample Time (s),77.45730350711848
