method,target_input_tokens,actual_total_tokens,mean_seconds,median_seconds,min_seconds,max_seconds,peak_allocated_gb,peak_reserved_gb
deltatrace_streamed,128,158,0.1471282641092936,0.14724302291870117,0.1426525115966797,0.15295052528381348,18.608519168,18.928893952
deltatrace_graphed,128,158,0.160698135693868,0.16053783893585205,0.15538549423217773,0.1657862663269043,20.878614016,21.248344064
ifr_multi_hop_both,128,158,0.2075048287709554,0.20775294303894043,0.18669390678405762,0.2275536060333252,16.918830592,17.01838848
ifr_multi_hop,128,158,0.20308669408162436,0.20179367065429688,0.1823742389678955,0.22942900657653809,16.918581248,17.01838848
deltatrace_streamed,256,265,0.20495506127675375,0.20566165447235107,0.20005559921264648,0.20723319053649902,19.782128128,20.30043136
deltatrace_graphed,256,265,0.21093002955118814,0.211297869682312,0.20743227005004883,0.21492648124694824,23.611331072,24.761073664
ifr_multi_hop_both,256,265,0.2522624731063843,0.251880407333374,0.23495912551879883,0.27072620391845703,17.118198784,17.230200832
ifr_multi_hop,256,265,0.2499905824661255,0.24965596199035645,0.22830557823181152,0.27207398414611816,17.118296064,17.230200832
deltatrace_streamed,512,478,0.2906159957249959,0.28968894481658936,0.28681182861328125,0.29653120040893555,22.175588864,23.56150272
deltatrace_graphed,512,478,0.29977846145629883,0.29934048652648926,0.29709553718566895,0.30402207374572754,28.963429376,30.897340416
ifr_multi_hop_both,512,478,0.34249786535898846,0.34146714210510254,0.32465147972106934,0.36336612701416016,17.66468608,17.92016384
ifr_multi_hop,512,478,0.3560088078180949,0.3563627004623413,0.34743666648864746,0.3664114475250244,17.665522688,17.92016384
deltatrace_streamed,1024,905,0.5194201072057089,0.5186412334442139,0.5158998966217041,0.5232360363006592,27.052472832,29.374808064
deltatrace_graphed,1024,905,0.5309642553329468,0.5308210849761963,0.5286154747009277,0.5345008373260498,40.01894912,42.765123584
ifr_multi_hop_both,1024,905,0.5543541510899862,0.5549319982528687,0.5333411693572998,0.5752484798431396,19.437133312,19.662897152
ifr_multi_hop,1024,905,0.568721612294515,0.569786787033081,0.5564785003662109,0.5821666717529297,19.437133312,19.662897152
