method,target_input_tokens,actual_total_tokens,mean_seconds,median_seconds,min_seconds,max_seconds,peak_allocated_gb,peak_reserved_gb
deltatrace_streamed,128,158,0.13533854484558105,0.13542652130126953,0.13396573066711426,0.1362447738647461,16.450806784,16.938696704
ifr_multi_hop_both,128,158,0.21619892120361328,0.2141883373260498,0.19786953926086426,0.24301600456237793,16.921231872,17.026777088
ifr_multi_hop,128,158,0.21791696548461914,0.2181715965270996,0.21432948112487793,0.22063684463500977,16.921244672,17.026777088
deltatrace_streamed,256,265,0.2082982063293457,0.20813632011413574,0.2077159881591797,0.20982623100280762,16.450878464,17.1442176
ifr_multi_hop_both,256,265,0.23857863744099936,0.23912954330444336,0.23677372932434082,0.2396376132965088,17.1160576,17.301504
ifr_multi_hop,256,265,0.24537432193756104,0.24703335762023926,0.22871065139770508,0.2592902183532715,17.115931136,17.301504
deltatrace_streamed,512,478,0.29309789339701336,0.2933015823364258,0.2917959690093994,0.2939450740814209,16.451011584,17.685282816
ifr_multi_hop_both,512,478,0.3665729761123657,0.3692113161087036,0.3571512699127197,0.37329626083374023,17.673965568,17.903386624
ifr_multi_hop,512,478,0.34044182300567627,0.34385550022125244,0.32416486740112305,0.35639142990112305,17.674802176,17.903386624
deltatrace_streamed,1024,905,0.5096886952718099,0.509703516960144,0.5087149143218994,0.510657548904419,16.4512896,19.56642816
ifr_multi_hop_both,1024,905,0.5642776489257812,0.5627552270889282,0.5317189693450928,0.5983002185821533,19.436187136,19.784531968
ifr_multi_hop,1024,905,0.5257283449172974,0.5250332355499268,0.5220558643341064,0.5333588123321533,19.436187136,19.784531968
