method,target_input_tokens,actual_total_tokens,mean_seconds,median_seconds,min_seconds,max_seconds,peak_allocated_gb,peak_reserved_gb
deltatrace_streamed,128,158,0.1359694004058838,0.13607573509216309,0.13495349884033203,0.1366434097290039,16.449758208,16.888365056
ifr_multi_hop_both,128,158,0.216886838277181,0.2141561508178711,0.201246976852417,0.23517632484436035,16.918830592,16.951279616
ifr_multi_hop,128,158,0.2081675926844279,0.20664501190185547,0.19180798530578613,0.2301473617553711,16.918581248,16.951279616
deltatrace_streamed,256,265,0.21070686976114908,0.2105940580368042,0.21002602577209473,0.21172356605529785,16.449829888,17.093885952
ifr_multi_hop_both,256,265,0.27579939365386963,0.2758193016052246,0.2710721492767334,0.28126955032348633,17.118198784,17.230200832
ifr_multi_hop,256,265,0.2545245885848999,0.2554187774658203,0.23949933052062988,0.26816463470458984,17.118296064,17.230200832
deltatrace_streamed,512,478,0.30034327507019043,0.30006444454193115,0.2990579605102539,0.30297088623046875,16.449963008,17.634951168
ifr_multi_hop_both,512,478,0.35478703180948895,0.3633915185928345,0.32143378257751465,0.3814971446990967,17.66468608,17.92016384
ifr_multi_hop,512,478,0.3296199639638265,0.3290536403656006,0.3130185604095459,0.34578609466552734,17.665522688,17.92016384
deltatrace_streamed,1024,905,0.5270379781723022,0.5271416902542114,0.5256898403167725,0.5281429290771484,16.450241024,19.516096512
ifr_multi_hop_both,1024,905,0.5639563004175822,0.5674922466278076,0.5517702102661133,0.5713229179382324,19.437133312,19.662897152
ifr_multi_hop,1024,905,0.5302539666493734,0.5294454097747803,0.518256425857544,0.5431461334228516,19.437133312,19.662897152
