Method,RISE,MAS,RISE+AP
Seq Attr Scores Mean,0.44322173412741706,0.6452179490952343,0.6854458050575949
Row Attr Scores Mean,0.45843054175176084,0.6836605801733459,0.7374924346907177
Recursive Attr Scores Mean,0.4564987148397342,0.6652203585604874,0.7088113204226092
Seq Attr Scores Var,0.06939032971463643,0.12066636690235767,0.14420424677893545
Row Attr Scores Var,0.06518565957611383,0.1028261338804916,0.1291411326584313
Recursive Attr Scores Var,0.06873234059499944,0.11839405256502253,0.13982796666725247
Avg Sample Time (s),17.722266992186196
