Method,Recovery@10%
Seq Attr Recovery Mean,0.6825986241363688
Row Attr Recovery Mean,0.39045846127703876
Recursive Attr Recovery Mean,0.4526156155391601
Seq Attr Recovery Std,0.1873999292007447
Row Attr Recovery Std,0.286249932072575
Recursive Attr Recovery Std,0.2821220188266451
Examples Used,100
Examples Skipped,0
Avg Sample Time (s),189.09123035045806
