Method,Recovery@10%
Seq Attr Recovery Mean,0.6732486023687398
Row Attr Recovery Mean,0.24348726913810573
Recursive Attr Recovery Mean,0.40920405805674037
Seq Attr Recovery Std,0.18331651443678001
Row Attr Recovery Std,0.23940220052166789
Recursive Attr Recovery Std,0.2641108740958117
Examples Used,100
Examples Skipped,0
Avg Sample Time (s),227.96593484893907
