Method,Recovery@10%
Seq Attr Recovery Mean,0.07630267074840419
Row Attr Recovery Mean,0.07630267074840419
Recursive Attr Recovery Mean,0.07630267074840419
Seq Attr Recovery Std,0.030122092366107484
Row Attr Recovery Std,0.030122092366107484
Recursive Attr Recovery Std,0.030122092366107484
Examples Used,100
Examples Skipped,0
Avg Sample Time (s),3.392547156284563
