Method,Recovery@10%
Seq Attr Recovery Mean,0.002847280924204001
Row Attr Recovery Mean,0.00468837791956597
Recursive Attr Recovery Mean,0.002847280924204001
Seq Attr Recovery Std,0.020201894463589852
Row Attr Recovery Std,0.026322533386030855
Recursive Attr Recovery Std,0.020201894463589852
Examples Used,100
Examples Skipped,0
Avg Sample Time (s),22.102538132844494
