Method,Recovery@10%
Seq Attr Recovery Mean,0.08427795421882095
Row Attr Recovery Mean,0.090411636099395
Recursive Attr Recovery Mean,0.08493868438997014
Seq Attr Recovery Std,0.1039414776229778
Row Attr Recovery Std,0.1075685643645705
Recursive Attr Recovery Std,0.10556806611985918
Examples Used,100
Examples Skipped,0
Avg Sample Time (s),14.445194901912473
