Method,Recovery@10%
Seq Attr Recovery Mean,0.07997504214809537
Row Attr Recovery Mean,0.08575049342982505
Recursive Attr Recovery Mean,0.08170060379401155
Seq Attr Recovery Std,0.10116586957168339
Row Attr Recovery Std,0.11212494853161752
Recursive Attr Recovery Std,0.11050236347187825
Examples Used,100
Examples Skipped,0
Avg Sample Time (s),14.618623290355318
