Method,Recovery@10%
Seq Attr Recovery Mean,0.41109267299373564
Row Attr Recovery Mean,0.32837479196917035
Recursive Attr Recovery Mean,0.318578377586958
Seq Attr Recovery Std,0.1892358248270901
Row Attr Recovery Std,0.19955609322440873
Recursive Attr Recovery Std,0.18130325262428376
Examples Used,100
Examples Skipped,0
Avg Sample Time (s),36.89165370096918
