cases,baseline_seconds,deferred_seconds,reduction_fraction,baseline_peak_bytes,deferred_peak_bytes,baseline_first_shape_seconds,deferred_first_shape_seconds,all_six_vectors_equal
morehopqa_0,0.7684024665504694,0.7229668004438281,0.05913003677696682,18577530880,18577530880,3.852270659059286,2.3479608222842216,True
morehopqa_1,0.41375265549868345,0.3560086712241173,0.13956160403362028,17241926656,17241926656,0.4165671877563,0.3433493059128523,True
morehopqa_2,0.6294287955388427,0.5742491213604808,0.08766626911487829,17872304128,17872304128,0.6277060844004154,0.5752958972007036,True
morehopqa_3,0.6554188840091228,0.6243996908888221,0.04732728012131704,18062751232,18062751232,0.6748202238231897,0.6275491807609797,True
morehopqa_4,0.6211325479671359,0.5839041657745838,0.059936292687276516,18664236032,18664236032,0.6362310443073511,0.5972033925354481,True
morehopqa_5,0.40056135319173336,0.33876942470669746,0.15426333067997822,17321958400,17321958400,0.41266960091888905,0.37855898030102253,True
morehopqa_6,0.4628753811120987,0.3984734257683158,0.13913454457018548,17506628096,17506628096,0.4764133580029011,0.40076798386871815,True
morehopqa_7,0.5106040360406041,0.45589240826666355,0.10715079378963188,17601865728,17601865728,0.5201360452920198,0.4547539073973894,True
niah_mq_q2_0,0.5650942912325263,0.516470905393362,0.08604473022212256,17782905856,17782905856,0.5767055135220289,0.5233937986195087,True
niah_mq_q2_1,0.9381557479500771,0.931337621062994,0.007267585261808707,18696821248,18697409024,0.9529293309897184,0.9355632215738297,True
niah_mq_q2_2,0.9693548372015357,0.9548680894076824,0.014944731524397792,18760811008,18761346048,0.9652646072208881,0.9587396960705519,True
niah_mq_q2_3,0.5688723148778081,0.5163300242275,0.09236218616403236,17742555648,17742555648,0.5831957645714283,0.5091487150639296,True
niah_mq_q2_4,0.9538056813180447,0.9128367211669683,0.04295315173050984,18636889088,18637399552,0.936926307156682,0.9130009189248085,True
niah_mq_q2_5,0.9504830036312342,0.949369614943862,0.0011713925268717063,18709817856,18710393856,0.9591652322560549,0.9400588423013687,True
niah_mq_q2_6,0.5939724734053016,0.5279117338359356,0.11121852026346168,17826759168,17826759168,0.6057199761271477,0.5354111064225435,True
niah_mq_q2_7,0.957909582182765,0.9473737487569451,0.010998776525245835,18701988864,18702577152,0.9580765012651682,0.9493643715977669,True
