Method,Recovery@10%
Seq Attr Recovery Mean,0.4834350019147166
Row Attr Recovery Mean,0.4834350019147166
Recursive Attr Recovery Mean,0.4834350019147166
Seq Attr Recovery Std,0.2989533395889954
Row Attr Recovery Std,0.2989533395889954
Recursive Attr Recovery Std,0.2989533395889954
Examples Used,100
Examples Skipped,0
Avg Sample Time (s),1.291240219725296
