Method,RISE,MAS,RISE+AP
Seq Attr Scores Mean,0.5163454744255167,0.6542172807136099,0.6637685629574583
Row Attr Scores Mean,0.5095899137480085,0.656643518739108,0.6677705104123334
Recursive Attr Scores Mean,0.510590178089841,0.6545466756955183,0.6652923822969232
Seq Attr Scores Var,0.07179351265840905,0.10843744217363012,0.1154859049636057
Row Attr Scores Var,0.0681992710368236,0.10380101275840477,0.11060335315346914
Recursive Attr Scores Var,0.06825643782909835,0.1048663858122045,0.11128666756852194
Avg Sample Time (s),13.799073223052547
