Method,Recovery@10%
Seq Attr Recovery Mean,0.6976457114652332
Row Attr Recovery Mean,0.6976457114652332
Recursive Attr Recovery Mean,0.6976457114652332
Seq Attr Recovery Std,0.07105672989228182
Row Attr Recovery Std,0.07105672989228182
Recursive Attr Recovery Std,0.07105672989228182
Examples Used,100
Examples Skipped,0
Avg Sample Time (s),2.147725975369103
