target_mode,labels,n,dt_recall,ft_k3_recall,dt_minus_ft,ci_low,ci_high,confidence
answer_only,official_restored,48,0.6857638888888888,0.6614583333333334,0.024305555555555552,-0.06770833333333333,0.12152777777777779,0.9875
answer_only,review_corrected,48,0.6857638888888888,0.671875,0.01388888888888889,-0.0763888888888889,0.1076388888888889,0.9875
full,official_restored,48,0.765625,0.7586805555555557,0.006944444444444443,-0.0763888888888889,0.08854166666666667,0.9875
full,review_corrected,48,0.7708333333333334,0.7743055555555557,-0.0034722222222222238,-0.08333333333333333,0.07465277777777778,0.9875
