target_mode,view,fraction,n,method,recall,ceiling
full,regex_anchor_restored,0.05,48,FT_K1,0.5141706386153327,0.7538400251625476
full,regex_anchor_restored,0.05,48,FT_K3,0.5139334204431455,0.7538400251625476
full,regex_anchor_restored,0.1,48,DT_target,0.7456932794063184,0.9747982328299564
full,regex_anchor_restored,0.1,48,FT_K1,0.7141591203694361,0.9747982328299564
full,regex_anchor_restored,0.1,48,FT_K3,0.7373274145516185,0.9747982328299564
full,regex_anchor_restored,0.2,48,DT_target,0.8834684065992647,1.0
full,regex_anchor_restored,0.2,48,FT_K1,0.8260511767220379,1.0
full,regex_anchor_restored,0.2,48,FT_K3,0.8254068468251305,1.0
full,regex_cached,0.05,48,DT_target,0.4453851974780451,0.7538400251625476
full,regex_cached,0.05,48,FT_K1,0.5006341706143214,0.7538400251625476
full,regex_cached,0.05,48,FT_K3,0.5080241040774114,0.7538400251625476
full,regex_cached,0.1,48,DT_target,0.7381444180831901,0.9747982328299564
full,regex_cached,0.1,48,FT_K1,0.7067055015360214,0.9747982328299564
full,regex_cached,0.1,48,FT_K3,0.7208620695981084,0.9747982328299564
full,regex_cached,0.2,48,DT_target,0.8805768939914627,1.0
full,regex_cached,0.2,48,FT_K1,0.8333393321272933,1.0
full,regex_cached,0.2,48,FT_K3,0.8326950022303862,1.0
full,regex_restored,0.05,48,DT_target,0.4453851974780451,0.7538400251625476
full,regex_restored,0.05,48,FT_K1,0.5006341706143214,0.7538400251625476
full,regex_restored,0.05,48,FT_K3,0.5080241040774114,0.7538400251625476
full,regex_restored,0.1,48,DT_target,0.7381444180831901,0.9747982328299564
full,regex_restored,0.1,48,FT_K1,0.7067055015360214,0.9747982328299564
full,regex_restored,0.1,48,FT_K3,0.7208620695981084,0.9747982328299564
full,regex_restored,0.2,48,DT_target,0.8789743298888985,1.0
full,regex_restored,0.2,48,FT_K1,0.8333393321272933,1.0
full,regex_restored,0.2,48,FT_K3,0.8326950022303862,1.0
