target_mode,labels,subset,n,budget_unit,budget_value,method,precision,recall,f1,exact_match,complete_support,token_recall,fact_recall_ceiling,spent_tokens,unused_tokens,selected_sentences
answer_only,official_restored,all48,48,sentences,2,FT_K1,0.65625,0.5260416666666666,0.5743055555555555,0.10416666666666667,0.10416666666666667,0.49796427380662167,0.829861111111111,56.145833333333336,0.0,2.0
answer_only,official_restored,all48,48,sentences,2,FT_K3,0.6770833333333334,0.5434027777777778,0.5930555555555556,0.125,0.125,0.5079954612571639,0.829861111111111,56.104166666666664,0.0,2.0
answer_only,official_restored,all48,48,sentences,4,DT_target,0.4635416666666667,0.7291666666666666,0.5570436507936508,0.0,0.4166666666666667,0.6936057873457591,1.0,107.1875,0.0,4.0
answer_only,official_restored,all48,48,sentences,4,FT_K1,0.4375,0.6944444444444443,0.5277777777777778,0.0,0.3541666666666667,0.6637694243175516,1.0,106.75,0.0,4.0
answer_only,official_restored,all48,48,sentences,4,FT_K3,0.4375,0.6944444444444443,0.5277777777777778,0.0,0.3541666666666667,0.6637694243175516,1.0,106.47916666666667,0.0,4.0
answer_only,official_restored,all48,48,sentences,8,DT_target,0.2708333333333333,0.8559027777777777,0.4058712121212121,0.0,0.6666666666666666,0.8226339613513284,1.0,212.70833333333334,0.0,8.0
answer_only,official_restored,all48,48,sentences,8,FT_K1,0.25,0.78125,0.3736111111111111,0.0,0.5,0.7527145378884189,1.0,217.33333333333334,0.0,8.0
answer_only,official_restored,all48,48,sentences,8,FT_K3,0.25,0.78125,0.3736111111111111,0.0,0.5,0.7527145378884189,1.0,217.5,0.0,8.0
answer_only,review_corrected,all48,48,body_tokens,0.05,DT_target,0.46493055555555546,0.4600694444444444,0.4375496031746031,0.020833333333333332,0.08333333333333333,0.40381523013004644,0.6562499999999999,56.041666666666664,3.0,2.7916666666666665
answer_only,review_corrected,all48,48,body_tokens,0.05,FT_K1,0.44414682539682543,0.4635416666666667,0.42671957671957667,0.0,0.08333333333333333,0.41964902055116277,0.6562499999999999,56.083333333333336,2.9583333333333335,2.8125
answer_only,review_corrected,all48,48,body_tokens,0.05,FT_K3,0.45109126984126985,0.4739583333333333,0.43505291005290997,0.0,0.10416666666666667,0.4258719642741065,0.6562499999999999,56.083333333333336,2.9583333333333335,2.8125
answer_only,review_corrected,all48,48,body_tokens,0.1,DT_target,0.396394462019462,0.6857638888888888,0.4757795445295446,0.0625,0.3333333333333333,0.6579873970041729,0.9305555555555555,114.70833333333333,2.9166666666666665,5.020833333333333
answer_only,review_corrected,all48,48,body_tokens,0.1,FT_K1,0.3934854497354497,0.6649305555555555,0.4697345478595478,0.020833333333333332,0.2916666666666667,0.6195666752256349,0.9305555555555555,114.0,3.625,4.916666666666667
answer_only,review_corrected,all48,48,body_tokens,0.1,FT_K3,0.4146660052910052,0.671875,0.4830447330447331,0.020833333333333332,0.3125,0.6417968038362191,0.9305555555555555,114.10416666666667,3.5208333333333335,4.833333333333333
answer_only,review_corrected,all48,48,body_tokens,0.2,DT_target,0.2595462407962408,0.859375,0.38734887176383337,0.0,0.6875,0.835566697552203,1.0,231.83333333333334,3.0,9.4375
answer_only,review_corrected,all48,48,body_tokens,0.2,FT_K1,0.24269619269619266,0.8020833333333334,0.3614298419445478,0.0,0.5416666666666666,0.769256836203826,1.0,231.5,3.3333333333333335,9.354166666666666
answer_only,review_corrected,all48,48,body_tokens,0.2,FT_K3,0.24301184926184924,0.8020833333333334,0.36188771740242326,0.0,0.5416666666666666,0.769256836203826,1.0,231.77083333333334,3.0625,9.333333333333334
