Method,RISE,MAS,RISE+AP
Seq Attr Scores Mean,0.3484257432816918,0.4455736688218332,0.48794819044779764
Row Attr Scores Mean,0.3484257432816918,0.4455736657622104,0.48794818678896973
Recursive Attr Scores Mean,0.3484257432816918,0.4455736659694669,0.4879481872694126
Seq Attr Scores Var,0.1125348789436817,0.12040695521165952,0.16265929361116177
Row Attr Scores Var,0.1125348789436817,0.12040695487780693,0.16265929275098018
Recursive Attr Scores Var,0.1125348789436817,0.12040695503792545,0.1626592938072323
Avg Sample Time (s),0.5704306402103976
