dataset,index,method,rule,fraction,recall,budget,gold,ceiling
vt_h2_c3,53,DT,raw,0.2,1.0,67,30,1.0
vt_h2_c3,53,DT,mean,0.05,0.5666666666666667,17,30,0.5666666666666667
vt_h2_c3,53,DT,mean,0.1,1.0,34,30,1.0
vt_h2_c3,53,DT,mean,0.2,1.0,67,30,1.0
vt_h2_c3,53,DT,rms,0.05,0.5666666666666667,17,30,0.5666666666666667
vt_h2_c3,53,DT,rms,0.1,1.0,34,30,1.0
vt_h2_c3,53,DT,rms,0.2,1.0,67,30,1.0
vt_h2_c3,53,DT,max,0.05,0.5666666666666667,17,30,0.5666666666666667
vt_h2_c3,53,DT,max,0.1,1.0,34,30,1.0
vt_h2_c3,53,DT,max,0.2,1.0,67,30,1.0
vt_h2_c3,53,FT_K3,raw,0.05,0.5666666666666667,17,30,0.5666666666666667
vt_h2_c3,53,FT_K3,raw,0.1,0.7666666666666667,34,30,1.0
vt_h2_c3,53,FT_K3,raw,0.2,0.9666666666666667,67,30,1.0
vt_h2_c3,53,FT_K3,mean,0.05,0.5666666666666667,17,30,0.5666666666666667
vt_h2_c3,53,FT_K3,mean,0.1,1.0,34,30,1.0
vt_h2_c3,53,FT_K3,mean,0.2,1.0,67,30,1.0
vt_h2_c3,53,FT_K3,rms,0.05,0.5666666666666667,17,30,0.5666666666666667
vt_h2_c3,53,FT_K3,rms,0.1,1.0,34,30,1.0
vt_h2_c3,53,FT_K3,rms,0.2,1.0,67,30,1.0
vt_h2_c3,53,FT_K3,max,0.05,0.5666666666666667,17,30,0.5666666666666667
vt_h2_c3,53,FT_K3,max,0.1,1.0,34,30,1.0
vt_h2_c3,53,FT_K3,max,0.2,1.0,67,30,1.0
vt_h2_c3,59,DT,raw,0.05,0.5185185185185185,17,27,0.6296296296296297
vt_h2_c3,59,DT,raw,0.1,0.7777777777777778,33,27,1.0
vt_h2_c3,59,DT,raw,0.2,0.8148148148148148,66,27,1.0
vt_h2_c3,59,DT,mean,0.05,0.6296296296296297,17,27,0.6296296296296297
vt_h2_c3,59,DT,mean,0.1,1.0,33,27,1.0
vt_h2_c3,59,DT,mean,0.2,1.0,66,27,1.0
vt_h2_c3,59,DT,rms,0.05,0.6296296296296297,17,27,0.6296296296296297
vt_h2_c3,59,DT,rms,0.1,1.0,33,27,1.0
vt_h2_c3,59,DT,rms,0.2,1.0,66,27,1.0
vt_h2_c3,59,DT,max,0.05,0.6296296296296297,17,27,0.6296296296296297
vt_h2_c3,59,DT,max,0.1,1.0,33,27,1.0
vt_h2_c3,59,DT,max,0.2,1.0,66,27,1.0
vt_h2_c3,59,FT_K3,raw,0.05,0.5925925925925926,17,27,0.6296296296296297
vt_h2_c3,59,FT_K3,raw,0.1,0.7777777777777778,33,27,1.0
vt_h2_c3,59,FT_K3,raw,0.2,0.9629629629629629,66,27,1.0
vt_h2_c3,59,FT_K3,mean,0.05,0.6296296296296297,17,27,0.6296296296296297
vt_h2_c3,59,FT_K3,mean,0.1,1.0,33,27,1.0
vt_h2_c3,59,FT_K3,mean,0.2,1.0,66,27,1.0
vt_h2_c3,59,FT_K3,rms,0.05,0.6296296296296297,17,27,0.6296296296296297
vt_h2_c3,59,FT_K3,rms,0.1,1.0,33,27,1.0
vt_h2_c3,59,FT_K3,rms,0.2,1.0,66,27,1.0
vt_h2_c3,59,FT_K3,max,0.05,0.6296296296296297,17,27,0.6296296296296297
vt_h2_c3,59,FT_K3,max,0.1,1.0,33,27,1.0
vt_h2_c3,59,FT_K3,max,0.2,1.0,66,27,1.0
vt_h2_c3,66,DT,raw,0.05,0.5483870967741935,17,31,0.5483870967741935
vt_h2_c3,66,DT,raw,0.1,0.8387096774193549,34,31,1.0
vt_h2_c3,66,DT,raw,0.2,0.967741935483871,67,31,1.0
vt_h2_c3,66,DT,mean,0.05,0.5483870967741935,17,31,0.5483870967741935
vt_h2_c3,66,DT,mean,0.1,1.0,34,31,1.0
vt_h2_c3,66,DT,mean,0.2,1.0,67,31,1.0
vt_h2_c3,66,DT,rms,0.05,0.5483870967741935,17,31,0.5483870967741935
vt_h2_c3,66,DT,rms,0.1,1.0,34,31,1.0
vt_h2_c3,66,DT,rms,0.2,1.0,67,31,1.0
vt_h2_c3,66,DT,max,0.05,0.5483870967741935,17,31,0.5483870967741935
vt_h2_c3,66,DT,max,0.1,1.0,34,31,1.0
vt_h2_c3,66,DT,max,0.2,1.0,67,31,1.0
vt_h2_c3,66,FT_K3,raw,0.05,0.5161290322580645,17,31,0.5483870967741935
vt_h2_c3,66,FT_K3,raw,0.1,0.8064516129032258,34,31,1.0
vt_h2_c3,66,FT_K3,raw,0.2,0.9032258064516129,67,31,1.0
vt_h2_c3,66,FT_K3,mean,0.05,0.5483870967741935,17,31,0.5483870967741935
vt_h2_c3,66,FT_K3,mean,0.1,1.0,34,31,1.0
vt_h2_c3,66,FT_K3,mean,0.2,1.0,67,31,1.0
vt_h2_c3,66,FT_K3,rms,0.05,0.5483870967741935,17,31,0.5483870967741935
vt_h2_c3,66,FT_K3,rms,0.1,1.0,34,31,1.0
vt_h2_c3,66,FT_K3,rms,0.2,1.0,67,31,1.0
vt_h2_c3,66,FT_K3,max,0.05,0.5483870967741935,17,31,0.5483870967741935
vt_h2_c3,66,FT_K3,max,0.1,1.0,34,31,1.0
vt_h2_c3,66,FT_K3,max,0.2,1.0,67,31,1.0
vt_h2_c3,83,DT,raw,0.05,0.5862068965517241,17,29,0.5862068965517241
vt_h2_c3,83,DT,raw,0.1,0.9310344827586207,34,29,1.0
vt_h2_c3,83,DT,raw,0.2,0.9310344827586207,67,29,1.0
vt_h2_c3,83,DT,mean,0.05,0.5862068965517241,17,29,0.5862068965517241
vt_h2_c3,83,DT,mean,0.1,1.0,34,29,1.0
vt_h2_c3,83,DT,mean,0.2,1.0,67,29,1.0
vt_h2_c3,83,DT,rms,0.05,0.5862068965517241,17,29,0.5862068965517241
vt_h2_c3,83,DT,rms,0.1,1.0,34,29,1.0
vt_h2_c3,83,DT,rms,0.2,1.0,67,29,1.0
vt_h2_c3,83,DT,max,0.05,0.5862068965517241,17,29,0.5862068965517241
vt_h2_c3,83,DT,max,0.1,1.0,34,29,1.0
vt_h2_c3,83,DT,max,0.2,1.0,67,29,1.0
vt_h2_c3,83,FT_K3,raw,0.05,0.5862068965517241,17,29,0.5862068965517241
vt_h2_c3,83,FT_K3,raw,0.1,0.7931034482758621,34,29,1.0
vt_h2_c3,83,FT_K3,raw,0.2,0.9310344827586207,67,29,1.0
vt_h2_c3,83,FT_K3,mean,0.05,0.5862068965517241,17,29,0.5862068965517241
vt_h2_c3,83,FT_K3,mean,0.1,1.0,34,29,1.0
vt_h2_c3,83,FT_K3,mean,0.2,1.0,67,29,1.0
