case,length,all_six_complete_vectors_equal,baseline_seconds,baseline_peak_bytes,baseline_first_shape_seconds,candidate_seconds,candidate_peak_bytes,candidate_first_shape_seconds,reduction_fraction
vt_h2_c3_0,1418,True,1.1199344610795379,19182959104,7.184817215427756,1.0672099944204092,19182959104,1.073057970032096,0.04707817152827498
vt_h2_c3_1,1363,True,1.0682581569999456,19011278336,1.075329152867198,1.0204147659242153,18983808512,1.0176780689507723,0.044786356895314405
hotpotqa_long_0,3124,True,2.671843293122947,21852369408,2.6705089900642633,2.5871299020946026,21622043136,2.583464803174138,0.03170597289384014
hotpotqa_long_1,1405,True,1.0945870261639357,18885924352,1.0950098391622305,1.0477956719696522,18782340608,1.0385823715478182,0.04274795249334118
hotpotqa_long_2,1441,True,1.126359305344522,18966815744,1.1281365156173706,1.074479766190052,18860512256,1.0844831876456738,0.046059493545535624
hotpotqa_long_3,1185,True,0.9127482865005732,18519844864,0.920443719252944,0.8683028724044561,18432477184,0.8650221209973097,0.04869405372046032
