Method,Recovery@10%
Seq Attr Recovery Mean,0.2366075036075037
Row Attr Recovery Mean,0.20665031526444572
Recursive Attr Recovery Mean,0.2012325663466968
Seq Attr Recovery Std,0.22306923592887606
Row Attr Recovery Std,0.2229297462845538
Recursive Attr Recovery Std,0.2101886233006958
Examples Used,100
Examples Skipped,0
Avg Sample Time (s),11.304803275484591
