attr_func,target_input_tokens,target_output_tokens,target_total_tokens,time_mean,time_std,peak_mem_mean,peak_mem_std,statuses
perturbation_all,128,32,160,13.9040,5.9762,21.4077,0.2551,ok|ok|ok
perturbation_all,256,32,288,21.1645,2.3974,22.7918,0.2462,ok|ok|ok
perturbation_all,512,32,544,42.8382,1.0001,26.0033,0.3460,ok|ok|ok
perturbation_all,1024,32,1056,127.0168,3.0900,34.1214,0.0138,ok|ok|ok
