attr_func,target_input_tokens,target_output_tokens,target_total_tokens,time_mean,time_std,peak_mem_mean,peak_mem_std,statuses
IG,128,32,160,28.7163,0.4220,64.4518,0.0959,ok|ok|ok
IG,256,32,288,,,67.2641,0.0000,oom|oom|oom
IG,512,32,544,,,67.2871,0.0000,oom|oom|oom
IG,1024,32,1056,,,66.9327,0.0000,oom|oom|oom
