method,vt_h2_c3_recall_at_10pct,vt_h4_c1_recall_at_10pct,vt_h6_c1_recall_at_20pct,vt_h10_c1_recall_at_30pct,hotpotqa_long_recall_at_10pct,vt_macro_task_specific_budgets
DT,0.8561683667365675,0.7132782168756069,0.9204822773996983,0.8774465790989282,0.7204861111111112,0.8418438600277003
FT_K3,0.7241013162207546,0.6831578266047122,0.8214540424149122,0.8340681130317467,0.6666666666666666,0.7656953245680314
Perturbation,0.266926594743266,0.1886202764433177,0.3357456448431278,0.40698306212363156,0.375,0.2995688945383358
REAGENT,0.2665932614099327,0.17576286532644364,0.3247010892093769,0.42477821225184575,0.34722222222222227,0.29795885704939973
CLP,0.29100392066117875,0.20534667701739098,0.3385196611195446,0.44037897390166514,0.4288194444444444,0.3188123081749449
IFR,0.811586187797186,0.7008878281433752,0.8373865598376904,0.8265564433117831,0.7586805555555555,0.7941042547725087
AttnLRP,0.833693353516977,0.7053854516277543,0.8457088552409476,0.7732976443784798,0.7482638888888888,0.7895213261910397
FT_K1,0.733263546599962,0.6854887253645751,0.826221573508005,0.8381533678620453,0.6753472222222222,0.7707818033336469
