dataset,index,input_sha256,DT_rise,FT_rise,DT_minus_FT_rise,DT_mas,FT_mas,DT_minus_FT_mas,DT_needle,FT_needle,DT_minus_FT_needle
niah_mq_q2,0,4c46244c8ef1235bda45410b69684055c641bfb46a3956a1958cce5328a95b46,0.08545112781954886,0.10386056971514242,-0.018409441895593556,0.10933687647137935,0.1902215081188312,-0.08088463164745185,0.425,0.175,0.25
niah_mq_q2,1,15b106b2ca7dea757762d05d6c6906d52ec32d7c2f72590cd023a4ca56cf1c5c,0.0410655737704918,0.04314449917898193,-0.002078925408490126,0.06099932807942576,0.12785577911263513,-0.06685645103320936,0.9736842105263158,0.7894736842105263,0.1842105263157895
niah_mq_q2,2,04625fd9bc55e61caefd3f1f534ae8eacc852169fd3347624a40ac8176cfe99d,0.03960084033613446,0.0444560669456067,-0.004855226609472241,0.05806260304714013,0.12610486734900025,-0.06804226430186013,0.9210526315789473,0.8157894736842105,0.10526315789473684
niah_mq_q2,3,b02552833746f8ba8d202a99c894bcf5bed676797ad67baf102e5e2ffc8842a2,0.10707094918504315,0.10459770114942528,0.002473248035617867,0.13977669084139843,0.19151354313976468,-0.05173685229836625,0.47368421052631576,0.21052631578947367,0.2631578947368421
niah_mq_q2,4,8b61309a0bf7cf7f88ffaf5492bf6ead0bf504509a322b70fad78b8f34293084,0.0386986301369863,0.05243484224965707,-0.013736212112670766,0.06644638708617352,0.13992636819945709,-0.07347998111328356,0.9743589743589743,0.8205128205128205,0.15384615384615385
niah_mq_q2,5,31e1c0de3fa15d110c9f438b287389c62aa9138cbb185aed24665b041a369eb5,0.04196969696969697,0.043197573656845754,-0.001227876687148785,0.05250739287479972,0.12835462462664565,-0.07584723175184593,1.0,0.8205128205128205,0.17948717948717952
niah_mq_q2,6,da32d256330a34eb35e022ad39f4c328eea0fbde44075a3332dda49de891cc84,0.05636986301369863,0.10184931506849315,-0.04547945205479452,0.08683371500071609,0.18964810756922618,-0.10281439256851009,0.4594594594594595,0.24324324324324326,0.21621621621621623
niah_mq_q2,7,98136dbc4f15287c0396ce470015ba2caa3a44f525a2c39c34ff5af66882f7cb,0.048666462293071734,0.054095354523227376,-0.005428892230155642,0.07102312846560811,0.14027890207562727,-0.06925577361001915,0.9743589743589743,0.7435897435897436,0.23076923076923073
niah_mq_q2,8,4a0510896f92b626aaa9313a5a1d215eb5a58a41d312894210ad4b5491b78c29,0.07624703087885987,0.10249406175771972,-0.02624703087885985,0.09925747395588627,0.18667944846255913,-0.08742197450667286,0.4473684210526316,0.23684210526315788,0.2105263157894737
niah_mq_q2,9,7239252bc8a251e48abb5cc9e68ecd40eaf553ea4559c1b426e1aca398dbb139,0.09764705882352942,0.09378669275929549,0.0038603660642339277,0.13817498663216024,0.18501425825597048,-0.04683927162381024,0.425,0.2,0.22499999999999998
niah_mq_q2,10,309c655a0e596a2e4121c297031182356288867828c8653c053e457007565621,0.07153716216216215,0.09865319865319866,-0.027116036491036513,0.10231854421392943,0.184432278459356,-0.08211373424542658,0.41025641025641024,0.20512820512820512,0.20512820512820512
niah_mq_q2,11,37179c438cfe5f0f003ecdb3bbdf6257da0e63b026d6170dabf24a3c8c7133ea,0.06742424242424241,0.07682872435325602,-0.009404481929013608,0.09181585415009137,0.17600249713016303,-0.08418664298007165,0.5,0.325,0.175
niah_mq_q2,12,7b3b47c5a8d9ea4a773b95062e41ddb0434aedc1532fa2e9f5c7166d73c8c0ed,0.07120637329286797,0.09943267776096823,-0.02822630446810026,0.09881297757696147,0.17921856687026735,-0.08040558929330588,0.35,0.2,0.14999999999999997
