Method,Recovery@10%
Seq Attr Recovery Mean,0.5158856706159335
Row Attr Recovery Mean,0.5158856706159335
Recursive Attr Recovery Mean,0.5158856706159335
Seq Attr Recovery Std,0.22881260581703572
Row Attr Recovery Std,0.22881260581703572
Recursive Attr Recovery Std,0.22881260581703572
Examples Used,100
Examples Skipped,0
Avg Sample Time (s),1.7464188149478286
