Method,RISE,MAS,RISE+AP
Seq Attr Scores Mean,0.4018018318458933,0.570749123998905,0.6022196020894213
Row Attr Scores Mean,0.3844467232536088,0.5513088139063828,0.5895019706798273
Recursive Attr Scores Mean,0.39256011117212775,0.5584100421806837,0.5930082466403438
Seq Attr Scores Var,0.07192668093599701,0.1385544095703012,0.15792315346466565
Row Attr Scores Var,0.0677223696363087,0.13223687640273912,0.15351281103657435
Recursive Attr Scores Var,0.06997152416864513,0.13488251585423133,0.15435715781685264
Avg Sample Time (s),16.01938700463623
