Method,RISE,MAS,RISE+AP
Seq Attr Scores Mean,0.45250973178595955,0.6812173011891066,0.7226439557928448
Row Attr Scores Mean,0.4377697766344136,0.6679649334388837,0.7179262160124881
Recursive Attr Scores Mean,0.4491755998741467,0.6756329707734313,0.7216332858800967
Seq Attr Scores Var,0.06932597527031081,0.11937633659568021,0.1392544253372845
Row Attr Scores Var,0.061338828003344635,0.1034808888813374,0.12530379181071036
Recursive Attr Scores Var,0.067454734681707,0.11489725958001386,0.13653999664933075
Avg Sample Time (s),25.22484813746065
