index,target_length,source_endpoint_delta,nonpositive_endpoint_delta,exact_two_line_duplicate_target,new_reference_FA_target_delta,full_reference_FA_target_delta,DT_raw_drop_auc,DT_drop_step1,DT_drop_step2,DT_step1_token_fraction,DT_step2_token_fraction,DT_RISE_first_step_floor,DT_recall10,DT_rise,DT_mas,DT_full_reference_raw_drop_auc,DT_full_reference_drop_step1,DT_full_reference_drop_step2,DT_full_reference_step1_token_fraction,DT_full_reference_step2_token_fraction,DT_full_reference_RISE_first_step_floor,DT_full_reference_recall10,DT_full_reference_rise,DT_full_reference_mas,FT_K1_raw_drop_auc,FT_K1_drop_step1,FT_K1_drop_step2,FT_K1_step1_token_fraction,FT_K1_step2_token_fraction,FT_K1_RISE_first_step_floor,FT_K1_recall10,FT_K1_rise,FT_K1_mas
0,40,14.4375,False,False,14.382581037628427,67.51250962383295,1.2389281249999997,0.9625,1.0828125,0.05018181818181818,0.10036363636363636,True,0.7575757575757576,0.025,0.055069864397253795,1.0954758522727273,1.1953125,1.146875,0.05018181818181818,0.10036363636363636,True,0.7272727272727273,0.025,0.07045734155124515,0.45958806818181813,0.7109375,0.7640625,0.05018181818181818,0.10036363636363636,True,0.8939393939393939,0.025,0.14301557628595385
1,27,31.96875,False,False,31.946841704386514,63.54805351556897,1.4023390511237732,1.369212962962963,1.4849537037037037,0.05042735042735043,0.10085470085470086,True,0.4166666666666667,0.025,0.07124587395370839,1.1549536047799938,1.0983796296296295,1.005787037037037,0.05042735042735043,0.10085470085470086,False,0.4642857142857143,0.03340664711632453,0.06796586777733263,0.8657699232352011,0.8923611111111112,0.8391203703703703,0.05042735042735043,0.10085470085470086,False,0.47619047619047616,0.15119745845552296,0.23112877535254261
2,59,4.0,False,False,4.0780709629477485,41.56115364771172,0.29126209612778176,0.1292372881355932,0.036016949152542374,0.05073086844368014,0.10146173688736028,True,0.4090909090909091,0.025,0.062305223496391414,0.17023683088738942,-0.13665254237288135,-0.17478813559322035,0.05073086844368014,0.10146173688736028,False,0.4909090909090909,0.17890625,0.18854937143363712,0.030370116006237527,-0.17584745762711865,-0.07521186440677965,0.05073086844368014,0.10146173688736028,False,0.3181818181818182,0.225,0.3075411698802226
3,49,2.96875,False,True,2.9290816078898416,83.17704552858415,0.17079060858871234,0.2531887755102041,0.3360969387755102,0.051031487513572206,0.10097719869706841,True,0.3157894736842105,0.025,0.06407143582519903,0.09073676294622084,0.18176020408163265,0.17793367346938777,0.051031487513572206,0.10097719869706841,True,0.3508771929824561,0.025,0.09567829439702313,-0.042925557845287954,-0.06505102040816327,-0.05229591836734694,0.051031487513572206,0.10097719869706841,False,0.40350877192982454,0.475,0.5041574354986664
4,77,51.5,False,False,51.58440023644228,65.28974808726672,1.291266339696193,0.8944805194805194,1.1801948051948052,0.05057096247960848,0.10114192495921696,True,0.2111111111111111,0.025,0.05704971458489072,1.0374422681722846,0.6753246753246753,0.7954545454545454,0.05057096247960848,0.10114192495921696,True,0.4444444444444444,0.025,0.08268086061814746,0.6312783362640623,0.6363636363636364,0.7061688311688312,0.05057096247960848,0.10114192495921696,False,0.5,0.027427184466019418,0.2148488330289776
5,67,41.9375,False,False,42.04865142763997,72.66460212153059,0.5557721123335472,0.31716417910447764,0.4496268656716418,0.05027256208358571,0.10054512416717142,False,0.21929824561403508,0.09929210134128168,0.1118281555841703,0.42689866837827817,0.3050373134328358,0.2957089552238806,0.05027256208358571,0.10054512416717142,False,0.21052631578947367,0.26091654247391954,0.43155632878544414,0.37912656960503355,0.11940298507462686,0.2294776119402985,0.05027256208358571,0.10054512416717142,False,0.2894736842105263,0.32306259314456043,0.43993280235370263
6,39,-8.3125,True,False,-8.401767388972374,61.51468651530422,1.2431828270657619,0.6201923076923077,0.8108974358974359,0.05028854080791426,0.10057708161582853,False,0.15714285714285714,0.0,0.062455767575129786,0.6258098695753271,0.296474358974359,0.657051282051282,0.05028854080791426,0.10057708161582853,False,0.11428571428571428,0.0,0.08841954479094653,0.15155196376857547,0.22115384615384615,0.4599358974358974,0.05028854080791426,0.10057708161582853,False,0.3,0.0,0.20472435120936033
7,57,35.4375,False,False,35.40765016103718,34.9351138009247,0.6566240520374642,0.5317982456140351,0.49890350877192985,0.05079681274900399,0.10159362549800798,False,0.2,0.04810405643738976,0.08124707367983375,0.3963974147270566,0.3190789473684211,0.3651315789473684,0.05079681274900399,0.10159362549800798,False,0.25882352941176473,0.23805114638447974,0.4283707792699908,0.27215534790661916,-0.12719298245614036,-0.27631578947368424,0.05079681274900399,0.10159362549800798,False,0.38823529411764707,0.4550705467372135,0.6237358198917429
8,49,27.375,False,True,27.471672156427488,71.84511400041505,0.8052052964042761,0.9005102040816326,0.7857142857142857,0.050340136054421766,0.10068027210884353,True,0.47692307692307695,0.025,0.08547302636718017,0.733496459808413,0.45153061224489793,0.45918367346938777,0.050340136054421766,0.10068027210884353,False,0.46153846153846156,0.04417808219178081,0.10591905583628376,0.42558656115507426,0.6211734693877551,0.3469387755102041,0.050340136054421766,0.10068027210884353,True,0.5538461538461539,0.025,0.17187199216098017
9,34,36.9375,False,False,37.118042761064984,88.92383105178538,1.3505683226926175,1.7224264705882353,1.755514705882353,0.0505795574288725,0.101159114857745,True,0.5645161290322581,0.025,0.055151119021066466,1.3705874604847206,0.9908088235294118,0.8051470588235294,0.0505795574288725,0.101159114857745,False,0.5967741935483871,0.05139593908629443,0.07281623018166396,0.9622919636769354,1.2794117647058822,0.7316176470588235,0.0505795574288725,0.101159114857745,True,0.7580645161290323,0.025,0.15212072857137846
10,58,62.875,False,False,63.17174654173523,96.16675577739035,0.9546999336870027,0.71875,0.7219827586206896,0.05075337034099921,0.1007137192704203,False,0.2708333333333333,0.12445328031809144,0.1667734419293853,1.0132215811206213,0.7219827586206896,0.9762931034482759,0.05075337034099921,0.1007137192704203,False,0.3333333333333333,0.07490059642147118,0.09101190971714938,1.0157185731083704,0.7737068965517241,0.853448275862069,0.05075337034099921,0.1007137192704203,False,0.4097222222222222,0.09000994035785288,0.18140701034824275
11,75,21.5625,False,True,21.656421534220627,96.63443777560013,0.6142514044943821,0.6275,0.7775,0.05056179775280899,0.10112359550561797,True,0.3627450980392157,0.025,0.05988624584217582,0.32297191011235954,0.5341666666666667,0.4708333333333333,0.05056179775280899,0.10112359550561797,True,0.47058823529411764,0.025,0.05946318263360175,0.19963623595505614,0.225,0.39916666666666667,0.05056179775280899,0.10112359550561797,False,0.45098039215686275,0.035869565217391305,0.2121688196141712
12,62,31.46875,False,False,31.596312542131656,92.88317286348256,1.1181590523754306,1.1013104838709677,1.2525201612903225,0.05010893246187364,0.10021786492374728,True,0.711864406779661,0.025,0.04871809148698587,0.8252205003865347,0.8261088709677419,0.8402217741935484,0.05010893246187364,0.10021786492374728,True,0.7796610169491526,0.025,0.05738586245859043,0.5160974616100921,0.6386088709677419,0.7303427419354839,0.05010893246187364,0.10021786492374728,True,0.7288135593220338,0.025,0.16666553003400245
13,13,-1.125,True,True,-0.9274574376881901,11.447132094168651,0.40432692307692303,0.42788461538461536,0.5408653846153846,0.05,0.1,False,0.13953488372093023,0.0,0.1017541625306071,0.1876201923076923,0.24278846153846154,0.2692307692307692,0.05,0.1,False,0.23255813953488372,0.0,0.06373827032124535,-0.2993990384615385,-0.2403846153846154,-0.8581730769230769,0.05,0.1,False,0.27906976744186046,0.0,0.1812885546491405
14,73,33.59375,False,True,33.56544758118733,69.89316036817763,0.5639783768716151,0.4002568493150685,0.432791095890411,0.05052125100240577,0.10104250200481155,False,0.35294117647058826,0.03448837209302326,0.06697533403636782,0.4796194084982039,0.4088184931506849,0.5038527397260274,0.05052125100240577,0.10104250200481155,False,0.35294117647058826,0.030581395348837213,0.12116077475970735,0.36409076990256073,0.1819349315068493,0.23159246575342465,0.05052125100240577,0.10104250200481155,False,0.5,0.15467441860465117,0.2122703578591001
15,38,6.375,False,False,6.41725193238571,77.0081305725707,1.0280266030797518,1.138157894736842,1.3980263157894737,0.050655021834061134,0.10131004366812227,True,0.4423076923076923,0.025,0.03467547347028647,0.5317929786256033,0.6759868421052632,0.9506578947368421,0.050655021834061134,0.10131004366812227,True,0.41346153846153844,0.025,0.06044613023410382,0.4224854918409561,0.04851973684210526,0.3980263157894737,0.050655021834061134,0.10131004366812227,False,0.41346153846153844,0.06053921568627452,0.21035330534271796
16,211,28.25,False,False,28.333566597838967,105.23594343453072,0.16090888479316598,0.061611374407582936,0.08056872037914692,0.050411522633744855,0.10082304526748971,False,0.2727272727272727,0.13694690265486725,0.17141731095042667,0.13112529986542626,0.04976303317535545,0.05568720379146919,0.050411522633744855,0.10082304526748971,False,0.48484848484848486,0.10553097345132742,0.15373037451489963,0.07711417315156124,-0.04976303317535545,-0.004739336492890996,0.050411522633744855,0.10082304526748971,False,0.3939393939393939,0.4077433628318584,0.5068505358888171
17,29,1.625,False,True,1.5908529044881448,51.7444831194437,0.16222782148177758,0.14547413793103448,0.10452586206896551,0.0505795574288725,0.101159114857745,True,0.012195121951219513,0.025,0.09483138477214588,0.028251153664474404,-0.15948275862068967,-0.1206896551724138,0.0505795574288725,0.101159114857745,False,0.3780487804878049,0.3240384615384615,0.34753433918130433,-0.12332116838050941,-0.2122844827586207,-0.2683189655172414,0.0505795574288725,0.101159114857745,False,0.2804878048780488,0.8423076923076925,0.9037493160287818
18,61,53.4375,False,False,53.43906095271268,130.1387078389967,1.070436420026584,0.639344262295082,0.6004098360655737,0.05019305019305019,0.10038610038610038,False,0.3402061855670103,0.052017543859649115,0.09590915458333531,0.96729342046965,0.38831967213114754,0.5543032786885246,0.05019305019305019,0.10038610038610038,False,0.30927835051546393,0.07119883040935673,0.13838346191806863,0.7815292898284703,0.8309426229508197,0.7161885245901639,0.05019305019305019,0.10038610038610038,False,0.32989690721649484,0.030146198830409365,0.22819382940551997
19,30,39.84375,False,False,39.93672610546297,127.45419287243352,1.5060771648044695,1.0760416666666666,1.1760416666666667,0.05027932960893855,0.1005586592178771,False,0.26666666666666666,0.0402156862745098,0.06066941334022406,1.5043173882681562,1.503125,1.4739583333333333,0.05027932960893855,0.1005586592178771,True,0.5066666666666667,0.025,0.06706106859695174,1.4535387569832405,1.628125,1.378125,0.05027932960893855,0.1005586592178771,True,0.5866666666666667,0.025,0.2128752163988569
20,28,4.59375,False,False,4.546830739589566,49.20877877404726,0.8611724572123279,0.7578125,0.7600446428571429,0.050397877984084884,0.10079575596816977,True,0.2,0.025,0.07337489188143032,0.28717425713654154,0.04352678571428571,0.36941964285714285,0.050397877984084884,0.10079575596816977,False,0.1111111111111111,0.06173469387755102,0.1308766501562596,0.2994135444297082,0.5792410714285714,0.7265625,0.050397877984084884,0.10079575596816977,True,0.2,0.025,0.19534903070658866
21,29,-6.96875,True,True,-6.811481317659684,33.26142246239152,0.057707270011203765,0.1497844827586207,0.10344827586206896,0.05054151624548736,0.10108303249097472,False,0.275,0.0,0.06463062543350731,-0.236360559566787,-0.2252155172413793,-0.16056034482758622,0.05054151624548736,0.10108303249097472,False,0.55,0.0,0.09244244310837149,-0.29667232042823355,-0.08297413793103449,-0.3232758620689655,0.05054151624548736,0.10108303249097472,False,0.625,0.0,0.18223386632635297
22,87,51.90625,False,True,51.680598439813494,63.0762867572313,0.6545760581148793,0.6677442528735632,0.7338362068965517,0.05015458605290278,0.10030917210580556,True,0.7818181818181819,0.025,0.06253168172757326,0.5839699149480567,0.6426005747126436,0.7065373563218391,0.05015458605290278,0.10030917210580556,True,0.7636363636363637,0.025,0.056777937173102935,0.4836275502750171,0.4306752873563218,0.5477729885057471,0.05015458605290278,0.10030917210580556,False,0.6909090909090909,0.1085641180012041,0.15729831674089628
23,73,31.875,False,True,31.786064191764893,27.584856312987213,0.7512401889611345,0.5958904109589042,0.5856164383561644,0.05069124423963134,0.10138248847926268,True,0.3010752688172043,0.025,0.08110953076121645,0.6103942433137638,0.5821917808219178,0.5881849315068494,0.05069124423963134,0.10138248847926268,True,0.26881720430107525,0.025,0.056214294084328,0.5063416661406056,0.4982876712328767,0.488013698630137,0.05069124423963134,0.10138248847926268,True,0.40860215053763443,0.025,0.18346595860934892
24,125,133.125,False,False,132.6095666515074,112.15078352275697,1.1894296137339055,1.217,1.307,0.050643776824034335,0.10128755364806867,True,0.3333333333333333,0.025,0.04928487735975391,1.202174678111588,1.107,1.287,0.050643776824034335,0.10128755364806867,True,0.36231884057971014,0.025,0.04522387737035486,0.9993248927038627,0.911,0.861,0.050643776824034335,0.10128755364806867,False,0.6521739130434783,0.043967136150234745,0.17402553385635805
25,80,62.375,False,False,62.72939538111065,138.88651446159253,0.9994198684601665,0.621875,0.9359375,0.050535077288941736,0.10107015457788347,False,0.6231884057971014,0.03512024048096193,0.05363704688904063,0.8371925163495838,0.6953125,0.79375,0.050535077288941736,0.10107015457788347,False,0.8405797101449275,0.030410821643286567,0.05992292024548871,0.6975847205707493,0.59375,0.70625,0.050535077288941736,0.10107015457788347,False,0.7681159420289855,0.046342685370741474,0.2034983335950588
26,54,27.1875,False,False,27.21054613444059,73.64175813905136,0.5535384211974277,0.5138888888888888,0.6145833333333334,0.05013927576601671,0.10027855153203342,True,0.1388888888888889,0.025,0.061133197841033805,0.38237484524914883,0.4270833333333333,0.3125,0.05013927576601671,0.10027855153203342,False,0.2569444444444444,0.09488505747126437,0.13760027056071095,0.31947184824099867,0.34837962962962965,0.11226851851851852,0.05013927576601671,0.10027855153203342,False,0.3194444444444444,0.24729885057471263,0.35563760956388657
27,50,29.4375,False,False,29.364753535079956,70.37978263871264,1.0631458712811173,1.14,1.1825,0.050394656952034,0.100789313904068,True,0.373134328358209,0.025,0.07058053996219682,0.91025956284153,1.115,1.0775,0.050394656952034,0.100789313904068,True,0.43283582089552236,0.025,0.06169307204515223,0.5946159684274439,0.50375,0.7075,0.050394656952034,0.100789313904068,False,0.47761194029850745,0.03221868365180467,0.20205488804212438
28,41,49.46875,False,False,49.242695620007666,97.78368812753781,1.4993981638311753,1.7446646341463414,1.8147865853658536,0.050411522633744855,0.10082304526748971,True,0.22448979591836735,0.025,0.06999052293611188,1.6681694927481683,1.5388719512195121,1.6638719512195121,0.050411522633744855,0.10082304526748971,True,0.19727891156462585,0.025,0.07603973504308004,1.1498485803723777,1.384908536585366,0.8269817073170732,0.050411522633744855,0.10082304526748971,True,0.17687074829931973,0.025,0.20448328339292893
29,25,10.40625,False,False,10.446172088712302,96.17588194599485,1.136379915730337,1.10875,1.40125,0.05056179775280899,0.10112359550561797,True,0.10465116279069768,0.025,0.0688248528833987,1.2332436797752813,2.21625,2.12625,0.05056179775280899,0.10112359550561797,True,0.36046511627906974,0.025,0.08142329830643794,0.9194838483146067,1.44625,1.44375,0.05056179775280899,0.10112359550561797,True,0.22093023255813954,0.025,0.20596389249486027
