group,cases,all_complete_vectors_equal,baseline_seconds,baseline_peak_bytes,baseline_first_shape_seconds,candidate_seconds,candidate_peak_bytes,candidate_first_shape_seconds,reduction_fraction
0,"vt_h2_c3_1,vt_h2_c3_0",True,2.4687741436064243,24395580928,23.845712304115295,2.3590797875076532,24395510784,4.15065199136734,0.04443272236257623
1,"hotpotqa_long_3,hotpotqa_long_1",True,2.3511998234316707,24064802304,12.29835862480104,2.2375435633584857,23971231744,2.2268335074186325,0.048339685525877196
2,"hotpotqa_long_2,hotpotqa_long_0",True,5.255143648013473,30297195008,15.2983274795115,5.052877542562783,30090726912,5.050294864922762,0.038489167756080245
