dataset,index,method,recall,rise,mas
niah_mq_q2,20,ifr-tokenwise,0.125,0.1604166666666667,0.2686084561703913
niah_mq_q2,20,FT_K3,0.25,,
niah_mq_q2,21,DT,0.8974358974358975,0.08471563981042658,0.10463878780577474
niah_mq_q2,21,FT_K1,0.6923076923076923,0.06528436018957345,0.2506809728898633
niah_mq_q2,21,ifr-tokenwise,0.717948717948718,0.07097156398104268,0.24515244003398337
niah_mq_q2,21,FT_K3,0.7435897435897436,,
niah_mq_q2,22,DT,0.35714285714285715,0.2071759259259259,0.2736483180730254
niah_mq_q2,22,FT_K1,0.23809523809523808,0.24282407407407405,0.2813861869690283
niah_mq_q2,22,ifr-tokenwise,0.19047619047619047,0.25625,0.29976516936519915
niah_mq_q2,22,FT_K3,0.23809523809523808,,
niah_mq_q2,23,DT,0.9736842105263158,0.049928366762177656,0.07033148343162102
niah_mq_q2,23,FT_K1,0.7368421052631579,0.04391117478510028,0.2338763662705184
niah_mq_q2,23,ifr-tokenwise,0.7894736842105263,0.04820916905444126,0.24178446913411372
niah_mq_q2,23,FT_K3,0.7894736842105263,,
niah_mq_q2,24,DT,0.4358974358974359,0.1611271676300578,0.22448223222729596
niah_mq_q2,24,FT_K1,0.2564102564102564,0.125,0.2619454461586151
niah_mq_q2,24,ifr-tokenwise,0.20512820512820512,0.13280346820809247,0.2525405787838093
niah_mq_q2,24,FT_K3,0.28205128205128205,,
niah_mq_q2,25,DT,0.868421052631579,0.21431116389548696,0.3583895643887322
niah_mq_q2,25,FT_K1,0.7894736842105263,0.19982185273159145,0.3062407031910356
niah_mq_q2,25,ifr-tokenwise,0.7894736842105263,0.2088479809976247,0.296596805958614
niah_mq_q2,25,FT_K3,0.8421052631578947,,
niah_mq_q2,26,DT,0.9230769230769231,0.0634180790960452,0.0808519006390757
niah_mq_q2,26,FT_K1,0.7948717948717948,0.054378531073446326,0.2268147566449062
niah_mq_q2,26,ifr-tokenwise,0.7948717948717948,0.06511299435028248,0.24401620992346343
niah_mq_q2,26,FT_K3,0.8205128205128205,,
niah_mq_q2,27,DT,0.875,0.059806629834254145,0.08458300589005581
niah_mq_q2,27,FT_K1,0.8,0.047928176795580105,0.24243209989990838
niah_mq_q2,27,ifr-tokenwise,0.775,0.04765193370165747,0.2403859472229714
niah_mq_q2,27,FT_K3,0.85,,
niah_mq_q2,28,DT,0.9743589743589743,0.053877005347593585,0.06666794525600098
niah_mq_q2,28,FT_K1,0.8205128205128205,0.04371657754010696,0.23422824720026258
niah_mq_q2,28,ifr-tokenwise,0.7692307692307693,0.039973262032085566,0.24021780661922404
niah_mq_q2,28,FT_K3,0.8205128205128205,,
niah_mq_q2,29,DT,0.39473684210526316,0.1296583850931677,0.15927453387749108
niah_mq_q2,29,FT_K1,0.2631578947368421,0.1125776397515528,0.25676518446392976
niah_mq_q2,29,ifr-tokenwise,0.23684210526315788,0.10822981366459627,0.24258889785170212
niah_mq_q2,29,FT_K3,0.2894736842105263,,
niah_mq_q2,30,DT,0.35,0.11395027624309391,0.13625056025659715
niah_mq_q2,30,FT_K1,0.2,0.11201657458563537,0.25548526234218727
niah_mq_q2,30,ifr-tokenwise,0.125,0.1164364640883978,0.25479610017701504
niah_mq_q2,30,FT_K3,0.25,,
niah_mq_q2,31,DT,0.9743589743589743,0.06026315789473684,0.08396567054959896
niah_mq_q2,31,FT_K1,0.7692307692307693,0.05578947368421052,0.23145746185225774
niah_mq_q2,31,ifr-tokenwise,0.7692307692307693,0.06657894736842104,0.22600690335112147
niah_mq_q2,31,FT_K3,0.8205128205128205,,
niah_mq_q2,32,DT,0.34210526315789475,0.11882022471910111,0.14613459078552865
niah_mq_q2,32,FT_K1,0.15789473684210525,0.11264044943820226,0.26611499723528487
niah_mq_q2,32,ifr-tokenwise,0.13157894736842105,0.11685393258426968,0.2605553864876845
niah_mq_q2,32,FT_K3,0.21052631578947367,,
niah_mq_q2,33,DT,0.9487179487179487,0.11174351585014408,0.1495453464600352
niah_mq_q2,33,FT_K1,0.8205128205128205,0.060446685878962535,0.24851755592208208
niah_mq_q2,33,ifr-tokenwise,0.7948717948717948,0.05929394812680115,0.24600878060562428
niah_mq_q2,33,FT_K3,0.8461538461538461,,
niah_mq_q2,34,DT,0.34210526315789475,0.13495145631067965,0.17850304158608177
niah_mq_q2,34,FT_K1,0.2894736842105263,0.12912621359223303,0.27328709084305286
niah_mq_q2,34,ifr-tokenwise,0.18421052631578946,0.1313106796116505,0.2693342596334055
niah_mq_q2,34,FT_K3,0.2894736842105263,,
niah_mq_q2,35,DT,0.868421052631579,0.05620204603580563,0.07557456905056485
niah_mq_q2,35,FT_K1,0.7631578947368421,0.0828005115089514,0.23541274397617634
niah_mq_q2,35,ifr-tokenwise,0.7631578947368421,0.09251918158567773,0.2357966827963916
niah_mq_q2,35,FT_K3,0.7894736842105263,,
niah_mq_q2,36,DT,0.40476190476190477,0.15177165354330707,0.19437823580775543
niah_mq_q2,36,FT_K1,0.30952380952380953,0.12762467191601048,0.26162538356897375
niah_mq_q2,36,ifr-tokenwise,0.11904761904761904,0.13681102362204725,0.25467472553795073
niah_mq_q2,36,FT_K3,0.30952380952380953,,
niah_mq_q2,37,DT,0.41025641025641024,0.13884180790960454,0.17031825618601526
