method,count,sum_per_case_median_seconds,mean_per_case_median_seconds,peak_allocated_GB,sum_warmup_seconds,measured_new_graphs
DT,16,16.732085797935724,1.0457553623709828,21.64466944,27.13530834019184,0
FT_K1,16,9.467392936348915,0.5917120585218072,25.199484928,43.48144694417715,0
FT_K3,16,13.764683965593576,0.8602927478495985,25.199484928,28.070433150976896,0
