dataset,index,method,median_seconds,peak_allocated_GB,warmup_seconds,measured_new_graphs
niah_mq_q2,0,DT,0.8490513898432255,20.118875648,7.355909861624241,0
niah_mq_q2,0,FT_K1,0.40240830555558205,21.654121984,2.9708176143467426,0
niah_mq_q2,0,FT_K3,0.6182627119123936,21.654121984,0.6115144155919552,0
niah_mq_q2,1,DT,1.4822445325553417,20.429054976,5.274678509682417,0
niah_mq_q2,1,FT_K1,0.9528026767075062,25.017577472,3.8468878269195557,0
niah_mq_q2,1,FT_K3,1.2835492081940174,25.017577472,1.3362837955355644,0
niah_mq_q2,2,DT,1.4369350224733353,20.457512448,1.464991670101881,0
niah_mq_q2,2,FT_K1,1.0083730854094028,25.199484928,1.000859595835209,0
niah_mq_q2,2,FT_K3,1.3742679320275784,25.199484928,4.428160451352596,0
niah_mq_q2,3,DT,0.8302177786827087,20.073850368,0.8325117863714695,0
niah_mq_q2,3,FT_K1,0.39286310970783234,21.613857792,2.9518089964985847,0
niah_mq_q2,3,FT_K3,0.6139588318765163,21.613857792,0.6508474983274937,0
niah_mq_q2,4,DT,1.3857689872384071,20.390600704,1.393771842122078,0
niah_mq_q2,4,FT_K1,0.9190702810883522,24.837771776,3.967528823763132,0
niah_mq_q2,4,FT_K3,1.2814796194434166,24.837771776,1.278154294937849,0
niah_mq_q2,5,DT,1.4373503811657429,20.436016128,1.4356512762606144,0
niah_mq_q2,5,FT_K1,0.9923133999109268,25.074960896,0.9897746108472347,0
niah_mq_q2,5,FT_K3,1.365979142487049,25.074960896,4.454118840396404,0
niah_mq_q2,6,DT,0.8739186637103558,20.198015488,0.8822172991931438,0
niah_mq_q2,6,FT_K1,0.38488680496811867,21.68708096,2.9156353026628494,0
niah_mq_q2,6,FT_K3,0.6017983928322792,21.68708096,0.6005208306014538,0
niah_mq_q2,7,DT,1.4385787211358547,20.428063744,1.4453136920928955,0
niah_mq_q2,7,FT_K1,0.9894110709428787,25.011309568,3.954930257052183,0
niah_mq_q2,7,FT_K3,1.3568391352891922,25.011309568,1.361920565366745,0
morehopqa,0,DT,1.150556031614542,21.1175424,1.1704210191965103,0
morehopqa,0,FT_K1,0.5903221815824509,22.911597056,0.5845538079738617,0
morehopqa,0,FT_K3,0.8678930588066578,22.911597056,3.581468053162098,0
morehopqa,1,DT,0.6539811119437218,19.58940416,0.6318304091691971,0
morehopqa,1,FT_K1,0.31015243008732796,20.807193088,6.786774013191462,0
morehopqa,1,FT_K3,0.48016300797462463,20.807193088,0.4837734214961529,0
morehopqa,2,DT,0.9839826934039593,20.029837824,0.9945068992674351,0
morehopqa,2,FT_K1,0.4811256341636181,22.196366336,3.1701511293649673,0
morehopqa,2,FT_K3,0.7538071684539318,22.196366336,0.7518633343279362,0
morehopqa,3,DT,1.051696315407753,20.262590464,1.0675865821540356,0
morehopqa,3,FT_K1,0.5567970089614391,22.412115968,0.5586309023201466,0
morehopqa,3,FT_K3,0.8443070165812969,22.412115968,3.666803427040577,0
morehopqa,4,DT,1.0467772670090199,21.64466944,1.044189214706421,0
morehopqa,4,FT_K1,0.5218396261334419,22.31959296,3.4547025449573994,0
morehopqa,4,FT_K3,0.8068136498332024,22.31959296,0.8025540634989738,0
morehopqa,5,DT,0.6656106859445572,19.806435328,0.6650510542094707,0
morehopqa,5,FT_K1,0.29923969879746437,20.795081216,2.997076418250799,0
morehopqa,5,FT_K3,0.47290385887026787,20.795081216,0.48011666908860207,0
morehopqa,6,DT,0.686266403645277,20.005215744,0.7027167044579983,0
morehopqa,6,FT_K1,0.29558543488383293,21.00328448,0.29515233263373375,0
morehopqa,6,FT_K3,0.46973950043320656,21.00328448,3.00086435303092,0
morehopqa,7,DT,0.7591498121619225,19.935451136,0.7739605195820332,0
morehopqa,7,FT_K1,0.37020218744874,21.380516864,3.03616276755929,0
morehopqa,7,FT_K3,0.5729217305779457,21.380516864,0.5814691372215748,0
