attr_func,target_input_tokens,target_output_tokens,target_total_tokens,time_mean,time_std,peak_mem_mean,peak_mem_std,statuses
ifr_multi_hop_both,128,32,160,9.9969,13.8139,20.4752,0.0316,ok|ok|ok
ifr_multi_hop_both,256,32,288,6.3093,8.4892,20.7793,0.0079,ok|ok|ok
ifr_multi_hop_both,512,32,544,7.1993,9.6808,21.3979,0.0198,ok|ok|ok
ifr_multi_hop_both,1024,32,1056,6.6253,8.5880,23.5769,0.0079,ok|ok|ok
