dataset,released_task_count,method,RISE,MAS,Recovery,RecoveryBudgetFraction,RecoveryMetric,RecoveryBudgetUnit,RecoveryTargetMode,RecoveryAttributionVariant,RecoveryProtocol
niah_mv_v8,100,CLP,0.39292587217410513,0.5113572510458099,0.0729326063429324,0.1,released_token_recovery,released_eligible_tokens,released_protocol,CLP,table1-data-v1
niah_mv_v8,100,IFR,0.20514763701816674,0.27462684716009383,0.17869094085262557,0.1,released_token_recovery,released_eligible_tokens,released_protocol,IFR,table1-data-v1
niah_mv_v8,100,AttnLRP,0.2851778051005854,0.475240883166524,0.1588264339826839,0.1,released_token_recovery,released_eligible_tokens,released_protocol,AttnLRP,table1-data-v1
niah_mv_v8,100,FT,0.18261880200489064,0.24761399610338444,0.2036087330067593,0.1,released_token_recovery,released_eligible_tokens,released_protocol,FT,table1-data-v1
niah_mv_v8,100,DT,0.10222419701728311,0.1441648770230809,0.24322885338345865,0.1,released_token_recovery,released_eligible_tokens,released_protocol,DT,table1-data-v1
vt_h2_c3,100,Perturbation,0.3844467232536088,0.5513088139063828,0.266926594743266,0.1,body_token_recall,eligible_body_tokens,answer_only,Perturbation,user-selected-vt-budgets-10-10-20-30-v1
vt_h2_c3,100,REAGENT,0.4377697766344136,0.6679649334388837,0.2665932614099327,0.1,body_token_recall,eligible_body_tokens,answer_only,REAGENT,user-selected-vt-budgets-10-10-20-30-v1
vt_h2_c3,100,CLP,0.37422615456972325,0.48998585218450347,0.29100392066117875,0.1,body_token_recall,eligible_body_tokens,answer_only,CLP,user-selected-vt-budgets-10-10-20-30-v1
vt_h2_c3,100,IFR,0.16089761428235172,0.2309299244773745,0.811586187797186,0.1,body_token_recall,eligible_body_tokens,answer_only,IFR,user-selected-vt-budgets-10-10-20-30-v1
vt_h2_c3,100,AttnLRP,0.3191188801669802,0.521430675283873,0.833693353516977,0.1,body_token_recall,eligible_body_tokens,answer_only,AttnLRP,user-selected-vt-budgets-10-10-20-30-v1
vt_h2_c3,100,FT,0.13155474487832042,0.1871832461937548,0.7241013162207546,0.1,body_token_recall,eligible_body_tokens,answer_only,FT_K3,user-selected-vt-budgets-10-10-20-30-v1
vt_h2_c3,100,DT,0.09001004550633603,0.11568669139298991,0.8561683667365675,0.1,body_token_recall,eligible_body_tokens,answer_only,DT,user-selected-vt-budgets-10-10-20-30-v1
vt_h4_c1,100,Perturbation,0.3538263835425453,0.516787195621676,0.1886202764433177,0.1,body_token_recall,eligible_body_tokens,answer_only,Perturbation,user-selected-vt-budgets-10-10-20-30-v1
vt_h4_c1,100,REAGENT,0.39710347532617185,0.60305516720862,0.17576286532644364,0.1,body_token_recall,eligible_body_tokens,answer_only,REAGENT,user-selected-vt-budgets-10-10-20-30-v1
vt_h4_c1,100,CLP,0.3277037882932045,0.4199060462695556,0.20534667701739098,0.1,body_token_recall,eligible_body_tokens,answer_only,CLP,user-selected-vt-budgets-10-10-20-30-v1
vt_h4_c1,100,IFR,0.10179965659404848,0.14791182090704336,0.7008878281433752,0.1,body_token_recall,eligible_body_tokens,answer_only,IFR,user-selected-vt-budgets-10-10-20-30-v1
vt_h4_c1,100,AttnLRP,0.32386836566142946,0.5475145324081019,0.7053854516277543,0.1,body_token_recall,eligible_body_tokens,answer_only,AttnLRP,user-selected-vt-budgets-10-10-20-30-v1
vt_h4_c1,100,FT,0.11024708798131334,0.1654504046770312,0.6831578266047122,0.1,body_token_recall,eligible_body_tokens,answer_only,FT_K3,user-selected-vt-budgets-10-10-20-30-v1
