Method,RISE,MAS,RISE+AP
Seq Attr Scores Mean,0.2851778051005854,0.4752408842457868,0.48187775170558106
Row Attr Scores Mean,0.2851778051005854,0.475240883166524,0.48187774997596383
Recursive Attr Scores Mean,0.2851778051005854,0.4752408986232247,0.4818777639357783
Seq Attr Scores Var,0.07391588355272033,0.1407975211099526,0.14740344701670377
Row Attr Scores Var,0.07391588355272033,0.14079752751200775,0.14740345046805814
Recursive Attr Scores Var,0.07391588355272033,0.14079752877975876,0.1474034606208938
Avg Sample Time (s),17.89176974669099
