Method,RISE,MAS,RISE+AP
Seq Attr Scores Mean,0.35774901435507794,0.4687131604318783,0.4768391465247088
Row Attr Scores Mean,0.3514381379660517,0.4580237274546788,0.46502530337314013
Recursive Attr Scores Mean,0.3547724921622851,0.4659033214196879,0.47334146172816555
Seq Attr Scores Var,0.09787222318682429,0.15499882346520924,0.168647610585008
Row Attr Scores Var,0.09725271610513675,0.15237254338612033,0.16677143593685095
Recursive Attr Scores Var,0.0973275601884597,0.15470478733496876,0.16886036102329735
Avg Sample Time (s),15.26524727242533
