dataset,index,method,view,fraction,recall,budget,gold,ceiling
vt_h2_c3,20,DT_space,density,0.05,0.6071428571428571,17,28,0.6071428571428571
vt_h2_c3,20,DT_space,density,0.1,1.0,34,28,1.0
vt_h2_c3,20,DT_space,density,0.2,1.0,67,28,1.0
vt_h2_c3,20,DT_mean,raw,0.05,0.6071428571428571,17,28,0.6071428571428571
vt_h2_c3,20,DT_mean,raw,0.1,0.7857142857142857,34,28,1.0
vt_h2_c3,20,DT_mean,raw,0.2,0.8928571428571429,67,28,1.0
vt_h2_c3,20,DT_mean,density,0.05,0.6071428571428571,17,28,0.6071428571428571
vt_h2_c3,20,DT_mean,density,0.1,1.0,34,28,1.0
vt_h2_c3,20,DT_mean,density,0.2,1.0,67,28,1.0
vt_h2_c3,20,FT_K1,raw,0.05,0.6071428571428571,17,28,0.6071428571428571
vt_h2_c3,20,FT_K1,raw,0.1,0.7142857142857143,34,28,1.0
vt_h2_c3,20,FT_K1,raw,0.2,0.8928571428571429,67,28,1.0
vt_h2_c3,20,FT_K1,density,0.05,0.6071428571428571,17,28,0.6071428571428571
vt_h2_c3,20,FT_K1,density,0.1,1.0,34,28,1.0
vt_h2_c3,20,FT_K1,density,0.2,1.0,67,28,1.0
vt_h2_c3,20,FT_K3,raw,0.05,0.6071428571428571,17,28,0.6071428571428571
vt_h2_c3,20,FT_K3,raw,0.1,0.7142857142857143,34,28,1.0
vt_h2_c3,20,FT_K3,raw,0.2,0.8571428571428571,67,28,1.0
vt_h2_c3,20,FT_K3,density,0.05,0.6071428571428571,17,28,0.6071428571428571
vt_h2_c3,20,FT_K3,density,0.1,1.0,34,28,1.0
vt_h2_c3,20,FT_K3,density,0.2,1.0,67,28,1.0
vt_h2_c3,28,DT_eos,raw,0.05,0.6538461538461539,17,26,0.6538461538461539
vt_h2_c3,28,DT_eos,raw,0.1,0.8846153846153846,33,26,1.0
vt_h2_c3,28,DT_eos,raw,0.2,1.0,66,26,1.0
vt_h2_c3,28,DT_eos,density,0.05,0.6538461538461539,17,26,0.6538461538461539
vt_h2_c3,28,DT_eos,density,0.1,1.0,33,26,1.0
vt_h2_c3,28,DT_eos,density,0.2,1.0,66,26,1.0
vt_h2_c3,28,DT_space,raw,0.05,0.5769230769230769,17,26,0.6538461538461539
vt_h2_c3,28,DT_space,raw,0.1,0.6923076923076923,33,26,1.0
vt_h2_c3,28,DT_space,raw,0.2,0.8846153846153846,66,26,1.0
vt_h2_c3,28,DT_space,density,0.05,0.6538461538461539,17,26,0.6538461538461539
vt_h2_c3,28,DT_space,density,0.1,1.0,33,26,1.0
vt_h2_c3,28,DT_space,density,0.2,1.0,66,26,1.0
vt_h2_c3,28,DT_mean,raw,0.05,0.6153846153846154,17,26,0.6538461538461539
vt_h2_c3,28,DT_mean,raw,0.1,0.8846153846153846,33,26,1.0
vt_h2_c3,28,DT_mean,raw,0.2,0.9615384615384616,66,26,1.0
vt_h2_c3,28,DT_mean,density,0.05,0.6538461538461539,17,26,0.6538461538461539
vt_h2_c3,28,DT_mean,density,0.1,1.0,33,26,1.0
vt_h2_c3,28,DT_mean,density,0.2,1.0,66,26,1.0
vt_h2_c3,28,FT_K1,raw,0.05,0.5769230769230769,17,26,0.6538461538461539
vt_h2_c3,28,FT_K1,raw,0.1,0.7692307692307693,33,26,1.0
vt_h2_c3,28,FT_K1,raw,0.2,0.9615384615384616,66,26,1.0
vt_h2_c3,28,FT_K1,density,0.05,0.6538461538461539,17,26,0.6538461538461539
vt_h2_c3,28,FT_K1,density,0.1,1.0,33,26,1.0
vt_h2_c3,28,FT_K1,density,0.2,1.0,66,26,1.0
vt_h2_c3,28,FT_K3,raw,0.05,0.5769230769230769,17,26,0.6538461538461539
vt_h2_c3,28,FT_K3,raw,0.1,0.7307692307692307,33,26,1.0
vt_h2_c3,28,FT_K3,raw,0.2,0.9615384615384616,66,26,1.0
vt_h2_c3,28,FT_K3,density,0.05,0.6538461538461539,17,26,0.6538461538461539
vt_h2_c3,28,FT_K3,density,0.1,1.0,33,26,1.0
vt_h2_c3,28,FT_K3,density,0.2,1.0,66,26,1.0
vt_h2_c3,53,DT_eos,raw,0.05,0.5666666666666667,17,30,0.5666666666666667
vt_h2_c3,53,DT_eos,raw,0.1,0.8333333333333334,34,30,1.0
vt_h2_c3,53,DT_eos,raw,0.2,1.0,67,30,1.0
vt_h2_c3,53,DT_eos,density,0.05,0.5666666666666667,17,30,0.5666666666666667
vt_h2_c3,53,DT_eos,density,0.1,1.0,34,30,1.0
vt_h2_c3,53,DT_eos,density,0.2,1.0,67,30,1.0
vt_h2_c3,53,DT_space,raw,0.05,0.5666666666666667,17,30,0.5666666666666667
vt_h2_c3,53,DT_space,raw,0.1,0.8666666666666667,34,30,1.0
vt_h2_c3,53,DT_space,raw,0.2,1.0,67,30,1.0
vt_h2_c3,53,DT_space,density,0.05,0.5666666666666667,17,30,0.5666666666666667
vt_h2_c3,53,DT_space,density,0.1,1.0,34,30,1.0
vt_h2_c3,53,DT_space,density,0.2,1.0,67,30,1.0
vt_h2_c3,53,DT_mean,raw,0.05,0.5666666666666667,17,30,0.5666666666666667
vt_h2_c3,53,DT_mean,raw,0.1,0.8666666666666667,34,30,1.0
vt_h2_c3,53,DT_mean,raw,0.2,1.0,67,30,1.0
vt_h2_c3,53,DT_mean,density,0.05,0.5666666666666667,17,30,0.5666666666666667
vt_h2_c3,53,DT_mean,density,0.1,1.0,34,30,1.0
vt_h2_c3,53,DT_mean,density,0.2,1.0,67,30,1.0
vt_h2_c3,53,FT_K1,raw,0.05,0.5666666666666667,17,30,0.5666666666666667
vt_h2_c3,53,FT_K1,raw,0.1,0.7666666666666667,34,30,1.0
vt_h2_c3,53,FT_K1,raw,0.2,0.9666666666666667,67,30,1.0
vt_h2_c3,53,FT_K1,density,0.05,0.5666666666666667,17,30,0.5666666666666667
vt_h2_c3,53,FT_K1,density,0.1,1.0,34,30,1.0
vt_h2_c3,53,FT_K1,density,0.2,1.0,67,30,1.0
vt_h2_c3,53,FT_K3,raw,0.05,0.5666666666666667,17,30,0.5666666666666667
vt_h2_c3,53,FT_K3,raw,0.1,0.7666666666666667,34,30,1.0
vt_h2_c3,53,FT_K3,raw,0.2,0.9666666666666667,67,30,1.0
vt_h2_c3,53,FT_K3,density,0.05,0.5666666666666667,17,30,0.5666666666666667
vt_h2_c3,53,FT_K3,density,0.1,1.0,34,30,1.0
vt_h2_c3,53,FT_K3,density,0.2,1.0,67,30,1.0
vt_h2_c3,59,DT_eos,raw,0.05,0.5185185185185185,17,27,0.6296296296296297
vt_h2_c3,59,DT_eos,raw,0.1,0.7777777777777778,33,27,1.0
vt_h2_c3,59,DT_eos,raw,0.2,0.8148148148148148,66,27,1.0
vt_h2_c3,59,DT_eos,density,0.05,0.6296296296296297,17,27,0.6296296296296297
vt_h2_c3,59,DT_eos,density,0.1,1.0,33,27,1.0
vt_h2_c3,59,DT_eos,density,0.2,1.0,66,27,1.0
vt_h2_c3,59,DT_space,raw,0.05,0.5185185185185185,17,27,0.6296296296296297
vt_h2_c3,59,DT_space,raw,0.1,0.7777777777777778,33,27,1.0
vt_h2_c3,59,DT_space,raw,0.2,0.8888888888888888,66,27,1.0
vt_h2_c3,59,DT_space,density,0.05,0.6296296296296297,17,27,0.6296296296296297
vt_h2_c3,59,DT_space,density,0.1,1.0,33,27,1.0
vt_h2_c3,59,DT_space,density,0.2,1.0,66,27,1.0
vt_h2_c3,59,DT_mean,raw,0.05,0.5555555555555556,17,27,0.6296296296296297
vt_h2_c3,59,DT_mean,raw,0.1,0.7777777777777778,33,27,1.0
vt_h2_c3,59,DT_mean,raw,0.2,0.8148148148148148,66,27,1.0
vt_h2_c3,59,DT_mean,density,0.05,0.6296296296296297,17,27,0.6296296296296297
