dataset,index,source_start,source_end,DT,DT_source,DT_query_budget_fraction,DT_instruction_budget_fraction,DT_source_gain,source_eligible,budget,ceiling,FT,FT_source,FT_query_budget_fraction,FT_instruction_budget_fraction,FT_source_gain
niah_mq_q2,0,138,1314,0.425,0.75,0.2903225806451613,0.16129032258064516,0.325,243,31,0.775,0.175,0.7,0.7096774193548387,0.03225806451612903,0.5249999999999999
niah_mq_q2,1,138,4261,0.9736842105263158,1.0,0.28735632183908044,0.14942528735632185,0.02631578947368418,800,87,1.0,0.7894736842105263,0.9210526315789473,0.4482758620689655,0.05747126436781609,0.13157894736842102
niah_mq_q2,2,138,4273,0.9210526315789473,0.9473684210526315,0.2413793103448276,0.14942528735632185,0.02631578947368418,800,87,1.0,0.8157894736842105,0.9210526315789473,0.4367816091954023,0.05747126436781609,0.10526315789473684
niah_mq_q2,3,138,1320,0.47368421052631576,0.7894736842105263,0.25806451612903225,0.16129032258064516,0.31578947368421056,241,31,0.8157894736842105,0.21052631578947367,0.7105263157894737,0.7096774193548387,0.03225806451612903,0.5
niah_mq_q2,4,138,4265,0.9743589743589743,1.0,0.28735632183908044,0.1724137931034483,0.02564102564102566,801,87,1.0,0.8205128205128205,0.9230769230769231,0.45977011494252873,0.05747126436781609,0.10256410256410264
niah_mq_q2,5,138,4275,1.0,1.0,0.3103448275862069,0.19540229885057472,0.0,801,87,1.0,0.8205128205128205,0.9487179487179487,0.45977011494252873,0.05747126436781609,0.1282051282051282
niah_mq_q2,6,138,1312,0.4594594594594595,0.7837837837837838,0.3225806451612903,0.0967741935483871,0.3243243243243243,240,31,0.8378378378378378,0.24324324324324326,0.7027027027027027,0.6129032258064516,0.03225806451612903,0.4594594594594595
niah_mq_q2,7,138,4268,0.9743589743589743,1.0,0.3333333333333333,0.16091954022988506,0.02564102564102566,801,87,1.0,0.7435897435897436,0.8974358974358975,0.47126436781609193,0.05747126436781609,0.15384615384615385
niah_mq_q2,8,138,1318,0.4473684210526316,0.7894736842105263,0.2903225806451613,0.16129032258064516,0.34210526315789475,241,31,0.8157894736842105,0.23684210526315788,0.7894736842105263,0.7096774193548387,0.0,0.5526315789473685
niah_mq_q2,9,138,1315,0.425,0.775,0.25806451612903225,0.1935483870967742,0.35000000000000003,243,31,0.775,0.2,0.625,0.6774193548387096,0.03225806451612903,0.425
niah_mq_q2,10,138,1312,0.41025641025641024,0.7692307692307693,0.3548387096774194,0.12903225806451613,0.35897435897435903,242,31,0.7948717948717948,0.20512820512820512,0.717948717948718,0.7096774193548387,0.03225806451612903,0.5128205128205128
