dataset,index,input_sha256,DT,FT,DT_minus_FT,eligible,gold,budget,gold_density,ceiling,random_expected_recall,DT_adjusted,FT_adjusted,DT_precision,FT_precision,DT_tie_width,FT_tie_width,DT_cutoff,gold_negative_fraction,gold_negative_abs_mass,gold_positive_mass,positive_gold_ceiling,target_tokens,judge_true,span_count,boundary_diff_count,gold_boundary_diff_count,relative_conservation_residual,absolute_conservation_residual,signed_recall,signed_tie_width,absolute_recall,absolute_tie_width,negative_recall,negative_tie_width,DT_recall_5,FT_recall_5,DT_recall_20,FT_recall_20,DT_recall_30,FT_recall_30,DT_recall_50,FT_recall_50,DT_recall_gold_budget,FT_recall_gold_budget
niah_mq_q2,0,4c46244c8ef1235bda45410b69684055c641bfb46a3956a1958cce5328a95b46,0.425,0.175,0.25,310,40,31,0.12903225806451613,0.775,0.1,0.5483870967741935,0.2258064516129032,0.5483870967741935,0.22580645161290322,0.0,0.0,1.8548778295516968,0.0,-0.0,78.79612731933594,0.775,244,True,2,0,0,0.00013840731333620017,0.023042382642870507,0.425,0.0,0.425,0.0,0.0,0.0,0.175,0.1,0.825,0.55,0.975,0.85,1.0,1.0,0.55,0.3
niah_mq_q2,1,15b106b2ca7dea757762d05d6c6906d52ec32d7c2f72590cd023a4ca56cf1c5c,0.9736842105263158,0.7894736842105263,0.1842105263157895,863,38,87,0.0440324449594438,1.0,0.10081112398609501,0.9736842105263158,0.7894736842105263,0.42528735632183906,0.3448275862068966,0.0,0.0,0.2259758859872818,0.0,-0.0,73.48570251464844,1.0,259,True,2,0,0,0.0001512402902513552,0.023020400616985626,0.9736842105263158,0.0,0.9736842105263158,0.0,0.0,0.0,0.631578947368421,0.3157894736842105,1.0,0.9473684210526315,1.0,0.9736842105263158,1.0,1.0,0.5789473684210527,0.2631578947368421
niah_mq_q2,2,04625fd9bc55e61caefd3f1f534ae8eacc852169fd3347624a40ac8176cfe99d,0.9210526315789473,0.8157894736842105,0.10526315789473684,863,38,87,0.0440324449594438,1.0,0.10081112398609501,0.9210526315789473,0.8157894736842105,0.40229885057471265,0.3563218390804598,0.0,0.0,0.19445228576660156,0.02631578947368421,0.898227870464325,55.09731674194336,0.9736842105263158,286,True,2,0,0,0.0019237398285902071,0.2295125280054151,0.9210526315789473,0.0,0.9473684210526315,0.0,0.02631578947368421,0.0,0.5789473684210527,0.2894736842105263,0.9473684210526315,0.9473684210526315,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.47368421052631576,0.2631578947368421
niah_mq_q2,3,b02552833746f8ba8d202a99c894bcf5bed676797ad67baf102e5e2ffc8842a2,0.47368421052631576,0.21052631578947367,0.2631578947368421,304,38,31,0.125,0.8157894736842105,0.10197368421052631,0.5806451612903225,0.25806451612903225,0.5806451612903226,0.25806451612903225,0.0,0.0,1.614837646484375,0.0,-0.0,71.16975402832031,0.8157894736842105,235,True,2,0,0,0.0003166180454972851,0.041305558788764074,0.47368421052631576,0.0,0.42105263157894735,0.0,0.0,0.0,0.21052631578947367,0.10526315789473684,0.8157894736842105,0.6052631578947368,1.0,0.8947368421052632,1.0,0.9736842105263158,0.5526315789473685,0.3157894736842105
niah_mq_q2,4,8b61309a0bf7cf7f88ffaf5492bf6ead0bf504509a322b70fad78b8f34293084,0.9743589743589743,0.8205128205128205,0.15384615384615385,866,39,87,0.04503464203233257,1.0,0.10046189376443418,0.9743589743589743,0.8205128205128205,0.4367816091954023,0.367816091954023,0.0,0.0,0.33716797828674316,0.0,-0.0,86.21605682373047,1.0,230,True,2,0,0,6.171513662596346e-05,0.011256867369979773,0.9743589743589743,0.0,0.9743589743589743,0.0,0.0,0.0,0.6410256410256411,0.358974358974359,1.0,0.9230769230769231,1.0,0.9743589743589743,1.0,1.0,0.6410256410256411,0.28205128205128205
niah_mq_q2,5,31e1c0de3fa15d110c9f438b287389c62aa9138cbb185aed24665b041a369eb5,1.0,0.8205128205128205,0.17948717948717952,866,39,87,0.04503464203233257,1.0,0.10046189376443418,1.0,0.8205128205128205,0.4482758620689655,0.367816091954023,0.0,0.0,0.19975188374519348,0.0,-0.0,75.48670959472656,1.0,262,True,2,0,0,0.0017512299441574044,0.25306418471072334,1.0,0.0,0.9743589743589743,0.0,0.0,0.0,0.6153846153846154,0.3076923076923077,1.0,0.9743589743589743,1.0,1.0,1.0,1.0,0.5384615384615384,0.23076923076923078
niah_mq_q2,6,da32d256330a34eb35e022ad39f4c328eea0fbde44075a3332dda49de891cc84,0.4594594594594595,0.24324324324324326,0.21621621621621623,301,37,31,0.12292358803986711,0.8378378378378378,0.10299003322259136,0.5483870967741936,0.2903225806451613,0.5483870967741935,0.2903225806451613,0.0,0.0,1.3179508447647095,0.0,-0.0,60.240936279296875,0.8378378378378378,259,True,2,0,0,0.0009209483675886052,0.08408591967778989,0.4594594594594595,0.0,0.40540540540540543,0.0,0.0,0.0,0.24324324324324326,0.10810810810810811,0.8918918918918919,0.6756756756756757,1.0,0.8918918918918919,1.0,1.0,0.5945945945945946,0.35135135135135137
niah_mq_q2,7,98136dbc4f15287c0396ce470015ba2caa3a44f525a2c39c34ff5af66882f7cb,0.9743589743589743,0.7435897435897436,0.23076923076923073,866,39,87,0.04503464203233257,1.0,0.10046189376443418,0.9743589743589743,0.7435897435897436,0.4367816091954023,0.3333333333333333,0.0,0.0,0.45314013957977295,0.0,-0.0,78.4296875,1.0,259,True,2,0,0,0.00010404995383526352,0.021251323404442246,0.9743589743589743,0.0,0.9743589743589743,0.0,0.0,0.0,0.5641025641025641,0.2564102564102564,1.0,0.9230769230769231,1.0,0.9743589743589743,1.0,1.0,0.48717948717948717,0.20512820512820512
niah_mq_q2,8,4a0510896f92b626aaa9313a5a1d215eb5a58a41d312894210ad4b5491b78c29,0.4473684210526316,0.23684210526315788,0.2105263157894737,304,38,31,0.125,0.8157894736842105,0.10197368421052631,0.5483870967741936,0.29032258064516125,0.5483870967741935,0.2903225806451613,0.0,0.0,1.4880863428115845,0.02631578947368421,0.37509816884994507,66.14335632324219,0.8157894736842105,238,True,2,0,0,0.0005054958976206811,0.05323858064826936,0.4473684210526316,0.0,0.42105263157894735,0.0,0.02631578947368421,0.0,0.23684210526315788,0.07894736842105263,0.9210526315789473,0.6842105263157895,0.9736842105263158,0.9210526315789473,0.9736842105263158,1.0,0.6052631578947368,0.2631578947368421
niah_mq_q2,9,7239252bc8a251e48abb5cc9e68ecd40eaf553ea4559c1b426e1aca398dbb139,0.425,0.2,0.22499999999999998,310,40,31,0.12903225806451613,0.775,0.1,0.5483870967741935,0.25806451612903225,0.5483870967741935,0.25806451612903225,0.0,0.0,1.6503585577011108,0.025,0.1309034824371338,73.51708221435547,0.775,315,True,2,0,0,0.0024347764855546733,0.30949354975979304,0.425,0.0,0.425,0.0,0.025,0.0,0.2,0.1,0.825,0.45,0.95,0.85,0.975,1.0,0.55,0.3
