dataset,subset,count,DT,FT,ceiling,DT_sentence_positive,DT_sentence_absolute,FT_sentence_positive,shuffled_DT_sentence,demo_eligible,scope_start_character,DT_scope,DT_scope_sentence,DT_scope_recomputed_budget,scope_eligible,scope_recomputed_budget,FT_scope,FT_scope_sentence,FT_scope_recomputed_budget,DT_demo_budget_fraction,DT_question_budget_fraction,FT_demo_budget_fraction,FT_question_budget_fraction,DT_sentence_positive_demo_budget_fraction,DT_sentence_positive_question_budget_fraction,DT_sentence_absolute_demo_budget_fraction,DT_sentence_absolute_question_budget_fraction,answer_gold_tokens,other_gold_tokens,DT_answer_recall,DT_other_recall,DT_span_any,DT_span_half,FT_answer_recall,FT_other_recall,FT_span_any,FT_span_half,DT_sentence_positive_answer_recall,DT_sentence_positive_other_recall,DT_sentence_positive_span_any,DT_sentence_positive_span_half,DT_sentence_absolute_answer_recall,DT_sentence_absolute_other_recall,DT_sentence_absolute_span_any,DT_sentence_absolute_span_half,DT_sentence_positive_gain,DT_sentence_positive_ci_low,DT_sentence_positive_ci_high,DT_sentence_positive_wins,DT_sentence_positive_losses,DT_sentence_absolute_gain,DT_sentence_absolute_ci_low,DT_sentence_absolute_ci_high,DT_sentence_absolute_wins,DT_sentence_absolute_losses,DT_scope_gain,DT_scope_ci_low,DT_scope_ci_high,DT_scope_wins,DT_scope_losses,DT_scope_sentence_gain,DT_scope_sentence_ci_low,DT_scope_sentence_ci_high,DT_scope_sentence_wins,DT_scope_sentence_losses
niah_mq_q2,all,100,0.6676079822491964,0.48343500191471656,0.8840889863883865,0.6877027468555067,0.6827311781207801,0.5069016093535976,0.1334161684042942,0.0,0.0,0.6676079822491964,0.6877027468555067,0.6676079822491964,559.18,56.3,0.48343500191471656,0.5069016093535976,0.48343500191471656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,25.21,0.6271428571428571,0.6890222269373694,1.0,0.72,0.47142857142857136,0.4890420220542409,1.0,0.45,0.72,0.6695793833380792,0.74,0.72,0.7171428571428572,0.6634644446535752,0.74,0.72,0.020094764606310402,0.006152456458235701,0.0322970646884516,54,27,0.015123195871583776,0.00010390862527415168,0.028543953549778123,51,31,0.0,0.0,0.0,0,0,0.020094764606310402,0.006152456458235701,0.0322970646884516,54,27
niah_mq_q2,even,50,0.6699325442449902,0.4826253159123864,0.8858186741161486,0.6991103174409143,0.6902205410248221,0.5107879803397759,0.12142654605684132,0.0,0.0,0.6699325442449902,0.6991103174409143,0.6699325442449902,565.1,56.9,0.4826253159123864,0.5107879803397759,0.4826253159123864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,25.32,0.6414285714285713,0.684316309244645,1.0,0.72,0.47,0.4887341743658085,1.0,0.46,0.73,0.6818706933468551,0.75,0.73,0.7242857142857143,0.6713103811952387,0.75,0.73,0.029177773195924062,0.016187959249418852,0.04222878804019131,31,11,0.020287996779831858,0.002274957611850465,0.0368546481449954,29,14,0.0,0.0,0.0,0,0,0.029177773195924062,0.016187959249418852,0.04222878804019131,31,11
niah_mq_q2,odd,50,0.6652834202534027,0.4842446879170466,0.8823592986606242,0.6762951762700993,0.6752418152167384,0.5030152383674191,0.1454057907517471,0.0,0.0,0.6652834202534027,0.6762951762700993,0.6652834202534027,553.26,55.7,0.4842446879170466,0.5030152383674191,0.4842446879170466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,25.1,0.6128571428571428,0.6937281446300936,1.0,0.72,0.47285714285714286,0.4893498697426734,1.0,0.44,0.71,0.6572880733293026,0.73,0.71,0.71,0.6556185081119114,0.73,0.71,0.011011756016696747,-0.013996933805534599,0.03023906761279248,23,16,0.009958394963335697,-0.014906951713845252,0.029120986114622112,22,17,0.0,0.0,0.0,0,0,0.011011756016696747,-0.013996933805534599,0.03023906761279248,23,16
niah_mq_q4,all,100,0.47829279248816675,0.41326017644649404,0.8089234721729,0.4286268965647588,0.4224191359682167,0.3777015984152412,0.10912663018631545,0.0,0.0,0.47829279248816675,0.4286268965647588,0.47829279248816675,686.24,69.08,0.41326017644649404,0.3777015984152412,0.41326017644649404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,50.59,0.5732142857142857,0.4250398826657358,0.9925,0.405,0.5607142857142857,0.33133259284445676,1.0,0.48,0.46035714285714285,0.41079090342940416,0.5225,0.4275,0.45392857142857146,0.404671827679446,0.515,0.4225,-0.049665895923408,-0.06702950558332899,-0.033401569048806076,30,62,-0.055873656519950056,-0.07425024721636488,-0.03851831835486899,30,62,0.0,0.0,0.0,0,0,-0.049665895923408,-0.06702950558332899,-0.033401569048806076,30,62
niah_mq_q4,even,50,0.46166395569345736,0.40184975096096026,0.790228174210499,0.424046217490895,0.4138384927262082,0.34855224152764686,0.10859396638925842,0.0,0.0,0.46166395569345736,0.424046217490895,0.46166395569345736,669.44,67.38,0.40184975096096026,0.34855224152764686,0.40184975096096026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,50.62,0.5528571428571428,0.4101263729653373,0.99,0.4,0.5557142857142857,0.3161569627693931,1.0,0.445,0.45571428571428574,0.40625755545366987,0.515,0.425,0.44357142857142856,0.39710491593632447,0.495,0.42,-0.037617738202562395,-0.06047716518487392,-0.015268168621737679,16,30,-0.04782546296724919,-0.07367406510589943,-0.02237849119840528,16,30,0.0,0.0,0.0,0,0,-0.037617738202562395,-0.06047716518487392,-0.015268168621737679,16,30
niah_mq_q4,odd,50,0.4949216292828762,0.42467060193202777,0.8276187701353008,0.43320757563862267,0.4309997792102253,0.4068509553028356,0.1096592939833725,0.0,0.0,0.4949216292828762,0.43320757563862267,0.4949216292828762,703.04,70.78,0.42467060193202777,0.4068509553028356,0.42467060193202777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,50.56,0.5935714285714285,0.4399533923661342,0.995,0.41,0.5657142857142857,0.3465082229195203,1.0,0.515,0.465,0.4153242514051385,0.53,0.43,0.46428571428571425,0.4122387394225676,0.535,0.425,-0.061714053644253614,-0.08761009931587205,-0.037860927533891656,14,32,-0.06392185007265094,-0.09045299223685395,-0.039707552866764945,14,32,0.0,0.0,0.0,0,0,-0.061714053644253614,-0.08761009931587205,-0.037860927533891656,14,32
niah_mq_q8,all,100,0.13239495652659394,0.0749830000032805,0.22274494155650287,0.1364904083095402,0.13757770211976397,0.015800285963024404,0.13328282586206075,0.0,0.0,0.13239495652659394,0.1364904083095402,0.13239495652659394,346.77,35.13,0.0749830000032805,0.015800285963024404,0.0749830000032805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,102.19,0.059821428571428574,0.17211248092866147,0.92375,0.02375,0.15035714285714286,0.03351649439115814,0.90375,0.00125,0.13232142857142856,0.13872680075015498,0.24,0.13125,0.1344642857142857,0.13922680075015498,0.24,0.135,0.00409545178294628,-0.002198292274085361,0.009847423792732193,68,12,0.005182745593170027,-0.0013476715330929786,0.011291572102486373,68,12,0.0,0.0,0.0,0,0,0.00409545178294628,-0.002198292274085361,0.009847423792732193,68,12
niah_mq_q8,even,50,0.13252680093439956,0.07440393005779704,0.22326701451702757,0.13872854995320363,0.13872854995320363,0.01532593739250086,0.13405420656946812,0.0,0.0,0.13252680093439956,0.13872854995320363,0.13252680093439956,348.54,35.32,0.07440393005779704,0.01532593739250086,0.07440393005779704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,102.78,0.05857142857142856,0.17274365982983464,0.9125,0.025,0.14821428571428572,0.03403819737062392,0.9075,0.0,0.135,0.14069711827826514,0.2425,0.1325,0.135,0.14069711827826514,0.24,0.135,0.006201749018804041,-0.0025315733720340347,0.013620994430845839,35,6,0.006201749018804041,-0.0025315733720340347,0.013620994430845839,35,6,0.0,0.0,0.0,0,0,0.006201749018804041,-0.0025315733720340347,0.013620994430845839,35,6
niah_mq_q8,odd,50,0.1322631121187883,0.07556206994876398,0.2222228685959782,0.1342522666658768,0.13642685428632428,0.016274634533547945,0.13251144515465346,0.0,0.0,0.1322631121187883,0.1342522666658768,0.1322631121187883,345.0,34.94,0.07556206994876398,0.016274634533547945,0.07556206994876398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,101.6,0.06107142857142857,0.17148130202748824,0.935,0.0225,0.15249999999999997,0.032994791411692384,0.9,0.0025,0.12964285714285714,0.1367564832220448,0.2375,0.13,0.13392857142857145,0.13775648322204478,0.24,0.135,0.001989154547088518,-0.007896362398037442,0.010248817422160415,33,6,0.004163742167536012,-0.006241959113545345,0.01341873231003332,33,6,0.0,0.0,0.0,0,0,0.001989154547088518,-0.007896362398037442,0.010248817422160415,33,6
niah_mv_v2,all,100,0.7515996468443837,0.5556180071390598,0.8998146274777854,0.768135345940609,0.7545630819472925,0.5858236082630819,0.09440133667502089,0.0,0.0,0.7515996468443837,0.768135345940609,0.7515996468443837,604.85,60.86,0.5556180071390598,0.5858236082630819,0.5556180071390598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,24.76,0.7471428571428571,0.7536757964257964,1.0,0.76,0.5850000000000001,0.5363315018315018,1.0,0.535,0.7957142857142857,0.7524146964146962,0.83,0.8,0.785,0.7371029248529248,0.8,0.785,0.016535699096225407,0.001581016081871338,0.03333120053922685,34,38,0.002963435102908774,-0.01102992813473078,0.01855687058555479,27,49,0.0,0.0,0.0,0,0,0.016535699096225407,0.001581016081871338,0.03333120053922685,34,38
