dataset,method,released_task_count,RISE,MAS,Recovery10
niah_mq_q2,Perturbation,100,0.09447340050800794,0.14419702587660505,0.39045846127703876
niah_mq_q2,REAGENT,100,0.1174040162708623,0.196588714609241,0.24348726913810573
niah_mq_q2,CLP,100,0.09773189556039677,0.16630092406061742,0.3984957500875737
niah_mq_q2,IFR,100,0.074686430032136,0.13966833431465003,0.4709987595590548
niah_mq_q2,AttnLRP,100,0.19546391155702558,0.32607924929399745,0.21487495548966914
niah_mq_q4,Perturbation,100,0.23892953972796993,0.32701285032074956,0.090411636099395
niah_mq_q4,REAGENT,100,0.25990910282039664,0.35738017102627073,0.0849423897488159
niah_mq_q4,CLP,100,0.25336391466813973,0.32030390488205646,0.08575049342982505
niah_mq_q4,IFR,100,0.11474161411830242,0.17697818425853803,0.32837479196917035
niah_mq_q4,AttnLRP,100,0.2628439378905114,0.4509463301339251,0.20424426907544432
niah_mq_q8,Perturbation,100,0.49861485088062196,0.7092614765885078,0.009702917797254003
niah_mq_q8,REAGENT,100,0.4865415909805819,0.6942348093449517,0.00468837791956597
niah_mq_q8,CLP,100,0.5095899137480085,0.656643518739108,0.008365653018125144
niah_mq_q8,IFR,100,0.37089451963968245,0.46003435064240866,0.011929881485977647
niah_mq_q8,AttnLRP,100,0.3765915636640412,0.6020088779362799,0.07630267074840419
niah_mv_v2,Perturbation,100,0.13425895786504932,0.1870389553680569,0.25480997082627516
niah_mv_v2,REAGENT,100,0.18762258814864974,0.2756323489553968,0.18017193675889334
niah_mv_v2,CLP,100,0.15588568726490024,0.21585110445784828,0.20665031526444572
niah_mv_v2,IFR,100,0.06909882243770366,0.13429019852346663,0.5750292965890791
niah_mv_v2,AttnLRP,100,0.14025950531981088,0.22896153656839657,0.2543767697680741
niah_mv_v4,Perturbation,100,0.1861629844042408,0.2435981599277158,0.16053912572934315
niah_mv_v4,REAGENT,100,0.21073488389938913,0.29046401766008606,0.15598549548277807
niah_mv_v4,CLP,100,0.21657475326708744,0.2803828606488076,0.1460664408055712
niah_mv_v4,IFR,100,0.07258311538067697,0.1415578784008213,0.4523506375870505
niah_mv_v4,AttnLRP,100,0.1934095833156573,0.32478776753182315,0.24252483295689825
niah_mv_v8,Perturbation,100,0.3514381379660517,0.4580237274546788,0.0801607966309053
niah_mv_v8,REAGENT,100,0.36853488514991656,0.4937527194304566,0.0736988107001694
niah_mv_v8,CLP,100,0.39292587217410513,0.5113572510458099,0.0729326063429324
niah_mv_v8,IFR,100,0.20514763701816674,0.27462684716009383,0.17869094085262557
niah_mv_v8,AttnLRP,100,0.2851778051005854,0.475240883166524,0.1588264339826839
vt_h2_c3,Perturbation,100,0.3844467232536088,0.5513088139063828,
vt_h2_c3,REAGENT,100,0.4377697766344136,0.6679649334388837,
vt_h2_c3,CLP,100,0.37422615456972325,0.48998585218450347,
vt_h2_c3,IFR,100,0.16089761428235172,0.2309299244773745,
vt_h2_c3,AttnLRP,100,0.3191188801669802,0.521430675283873,
vt_h4_c1,Perturbation,100,0.3538263835425453,0.516787195621676,
vt_h4_c1,REAGENT,100,0.39710347532617185,0.60305516720862,
vt_h4_c1,CLP,100,0.3277037882932045,0.4199060462695556,
vt_h4_c1,IFR,100,0.10179965659404848,0.14791182090704336,
vt_h4_c1,AttnLRP,100,0.32386836566142946,0.5475145324081019,
vt_h6_c1,Perturbation,100,0.45843054175176084,0.6836605801733459,
vt_h6_c1,REAGENT,100,0.48596486865637595,0.7452971527816697,
vt_h6_c1,CLP,100,0.42245786565908994,0.5648384264462925,
vt_h6_c1,IFR,100,0.12453668676283255,0.17274315474587104,
vt_h6_c1,AttnLRP,100,0.3377602668202493,0.5723416648522275,
vt_h10_c1,Perturbation,100,0.4663173946381782,0.7013145935276089,
vt_h10_c1,REAGENT,100,0.4952616507601194,0.7404921724829001,
vt_h10_c1,CLP,100,0.45099350019747275,0.5966904111052622,
vt_h10_c1,IFR,100,0.1525986117827446,0.20107533680564513,
vt_h10_c1,AttnLRP,100,0.35732583966110615,0.5914958140309188,
hotpotqa_long,Perturbation,48,0.13326436720935023,0.22027757220706815,
hotpotqa_long,REAGENT,48,0.14453126145548958,0.23512767796000356,
hotpotqa_long,CLP,48,0.10127542207661794,0.18953401005715967,
hotpotqa_long,IFR,48,0.07449378602962407,0.16546583077144414,
hotpotqa_long,AttnLRP,48,0.15479244653303484,0.2493305400456913,
math,Perturbation,100,0.38022415165794987,0.5202232481391,
math,REAGENT,100,0.38780784608703917,0.5357643142693312,
math,CLP,100,0.36160960519492663,0.4906671601351046,
math,IFR,100,0.35367534453689975,0.48971088604672147,
math,AttnLRP,100,0.36841190226741444,0.5244215596975499,
morehopqa,Perturbation,95,0.24885708102930973,0.3470125676232262,
morehopqa,REAGENT,95,0.265208667665898,0.3678727473997453,
morehopqa,CLP,95,0.2486954698220953,0.34783310047727883,
morehopqa,IFR,95,0.14552595508538246,0.22774747289539918,
morehopqa,AttnLRP,95,0.2856810738165367,0.4578729106637439,
