target_mode,policy,fraction,n,method,recall,f1,spent_all_tokens,excess_over_all_token_budget
answer_conditioned,all_tokens_prefix,0.05,48,DT_target,0.3038194444444444,0.34831349206349205,46.416666666666664,0.0
answer_conditioned,all_tokens_prefix,0.05,48,FT_K1,0.4010416666666667,0.4379960317460317,49.958333333333336,0.0
answer_conditioned,all_tokens_prefix,0.05,48,FT_K3,0.40277777777777773,0.4373015873015873,47.770833333333336,0.0
answer_conditioned,all_tokens_prefix,0.1,48,DT_target,0.4895833333333333,0.3987398018648019,113.04166666666667,0.0
answer_conditioned,all_tokens_prefix,0.1,48,FT_K1,0.6163194444444444,0.49208002645502646,113.1875,0.0
answer_conditioned,all_tokens_prefix,0.1,48,FT_K3,0.6475694444444445,0.5080221861471862,117.39583333333333,0.0
answer_conditioned,all_tokens_prefix,0.2,48,DT_target,0.6336805555555556,0.31700219148135816,244.5625,0.0
answer_conditioned,all_tokens_prefix,0.2,48,FT_K1,0.7447916666666666,0.3599485005735006,240.66666666666666,0.0
answer_conditioned,all_tokens_prefix,0.2,48,FT_K3,0.8194444444444445,0.39155358530358536,242.625,0.0
answer_conditioned,all_tokens_skip,0.05,48,DT_target,0.3489583333333333,0.332473544973545,62.291666666666664,0.0
answer_conditioned,all_tokens_skip,0.05,48,FT_K1,0.4236111111111111,0.4097718253968254,62.833333333333336,0.0
answer_conditioned,all_tokens_skip,0.05,48,FT_K3,0.4392361111111111,0.41954365079365075,62.770833333333336,0.0
answer_conditioned,all_tokens_skip,0.1,48,DT_target,0.5190972222222222,0.3778604497354497,127.125,0.0
answer_conditioned,all_tokens_skip,0.1,48,FT_K1,0.6440972222222222,0.45489360176860183,127.08333333333333,0.0
answer_conditioned,all_tokens_skip,0.1,48,FT_K3,0.6527777777777778,0.4619853526103526,127.79166666666667,0.0
answer_conditioned,all_tokens_skip,0.2,48,DT_target,0.6458333333333334,0.30227285083289984,256.3958333333333,0.0
answer_conditioned,all_tokens_skip,0.2,48,FT_K1,0.75,0.3312012894298111,256.9583333333333,0.0
answer_conditioned,all_tokens_skip,0.2,48,FT_K3,0.8298611111111112,0.3670309350021037,256.7916666666667,0.0
answer_conditioned,eligible_skip,0.05,48,DT_target,0.3177083333333333,0.2992063492063492,62.979166666666664,0.7708333333333334
answer_conditioned,eligible_skip,0.05,48,FT_K1,0.41840277777777773,0.38819444444444445,63.3125,0.7916666666666666
answer_conditioned,eligible_skip,0.05,48,FT_K3,0.4392361111111111,0.40479497354497357,63.166666666666664,0.7083333333333334
answer_conditioned,eligible_skip,0.1,48,DT_target,0.5069444444444444,0.3713458994708995,128.66666666666666,1.0625
answer_conditioned,eligible_skip,0.1,48,FT_K1,0.6440972222222222,0.45069895382395386,128.14583333333334,1.1041666666666667
answer_conditioned,eligible_skip,0.1,48,FT_K3,0.6597222222222222,0.4669838263588264,128.4375,1.0416666666666667
answer_conditioned,eligible_skip,0.2,48,DT_target,0.6458333333333334,0.3006717150405876,258.7291666666667,1.875
answer_conditioned,eligible_skip,0.2,48,FT_K1,0.75,0.3307187944136474,258.4583333333333,2.0
answer_conditioned,eligible_skip,0.2,48,FT_K3,0.8246527777777778,0.3632468498277322,258.3333333333333,2.0416666666666665
full,all_tokens_prefix,0.05,48,DT_target,0.4618055555555555,0.5043154761904761,46.854166666666664,0.0
full,all_tokens_prefix,0.05,48,FT_K1,0.5069444444444444,0.553125,47.854166666666664,0.0
full,all_tokens_prefix,0.05,48,FT_K3,0.49652777777777773,0.5392361111111111,47.8125,0.0
full,all_tokens_prefix,0.1,48,DT_target,0.7638888888888888,0.6082545926295927,115.10416666666667,0.0
full,all_tokens_prefix,0.1,48,FT_K1,0.7291666666666666,0.5810575998075999,113.95833333333333,0.0
full,all_tokens_prefix,0.1,48,FT_K3,0.7465277777777777,0.5983826358826358,115.79166666666667,0.0
full,all_tokens_prefix,0.2,48,DT_target,0.9184027777777777,0.4679944226783472,242.4375,0.0
full,all_tokens_prefix,0.2,48,FT_K1,0.8506944444444445,0.4241310772560773,239.02083333333334,0.0
full,all_tokens_prefix,0.2,48,FT_K3,0.8506944444444445,0.42373933936433933,240.22916666666666,0.0
full,all_tokens_skip,0.05,48,DT_target,0.501736111111111,0.4760912698412698,61.8125,0.0
