index,target_mode,method,pooling,budget_unit,budget_value,budget,all_body_tokens,precision,recall,f1,exact_match,complete_support,true_positive,predicted,gold,spent_all_tokens,unused_all_tokens,selected_sentences,empty_selection,token_recall,fact_recall_ceiling
0,full,FT_K3,positive_mean_eligible,sentences,4,4,2883,0.5,1.0,0.6666666666666666,0.0,1.0,2,4,2,137,0,4,0,1.0,1.0
0,full,FT_K3,positive_mean_eligible,sentences,8,8,2883,0.25,1.0,0.4,0.0,1.0,2,8,2,256,0,8,0,1.0,1.0
1,full,DT_target,signed_sum,all_body_tokens,0.05,59,1163,1.0,0.6666666666666666,0.8,0.0,0.0,2,2,3,52,7,2,0,0.5842696629213483,0.6666666666666666
1,full,DT_target,signed_sum,all_body_tokens,0.1,117,1163,0.75,1.0,0.8571428571428571,0.0,1.0,3,4,3,117,0,4,0,1.0,1.0
1,full,DT_target,signed_sum,all_body_tokens,0.2,233,1163,0.42857142857142855,1.0,0.6,0.0,1.0,3,7,3,214,19,7,0,1.0,1.0
1,full,DT_target,signed_sum,sentences,2,2,1163,1.0,0.6666666666666666,0.8,0.0,0.0,2,2,3,52,0,2,0,0.5842696629213483,0.6666666666666666
1,full,DT_target,signed_sum,sentences,4,4,1163,0.75,1.0,0.8571428571428571,0.0,1.0,3,4,3,117,0,4,0,1.0,1.0
1,full,DT_target,signed_sum,sentences,8,8,1163,0.375,1.0,0.5454545454545454,0.0,1.0,3,8,3,250,0,8,0,1.0,1.0
1,full,DT_target,positive_mean_eligible,all_body_tokens,0.05,59,1163,1.0,0.6666666666666666,0.8,0.0,0.0,2,2,3,52,7,2,0,0.5842696629213483,0.6666666666666666
1,full,DT_target,positive_mean_eligible,all_body_tokens,0.1,117,1163,0.75,1.0,0.8571428571428571,0.0,1.0,3,4,3,117,0,4,0,1.0,1.0
1,full,DT_target,positive_mean_eligible,all_body_tokens,0.2,233,1163,0.3333333333333333,1.0,0.5,0.0,1.0,3,9,3,214,19,9,0,1.0,1.0
1,full,DT_target,positive_mean_eligible,sentences,2,2,1163,1.0,0.6666666666666666,0.8,0.0,0.0,2,2,3,52,0,2,0,0.5842696629213483,0.6666666666666666
1,full,DT_target,positive_mean_eligible,sentences,4,4,1163,0.75,1.0,0.8571428571428571,0.0,1.0,3,4,3,117,0,4,0,1.0,1.0
1,full,DT_target,positive_mean_eligible,sentences,8,8,1163,0.375,1.0,0.5454545454545454,0.0,1.0,3,8,3,186,0,8,0,1.0,1.0
1,full,FT_K1,signed_sum,all_body_tokens,0.05,59,1163,1.0,0.3333333333333333,0.5,0.0,0.0,1,1,3,42,17,1,0,0.47191011235955055,0.6666666666666666
1,full,FT_K1,signed_sum,all_body_tokens,0.1,117,1163,1.0,0.6666666666666666,0.8,0.0,0.0,2,2,3,79,38,2,0,0.8876404494382022,1.0
1,full,FT_K1,signed_sum,all_body_tokens,0.2,233,1163,0.5,1.0,0.6666666666666666,0.0,1.0,3,6,3,194,39,6,0,1.0,1.0
1,full,FT_K1,signed_sum,sentences,2,2,1163,1.0,0.6666666666666666,0.8,0.0,0.0,2,2,3,79,0,2,0,0.8876404494382022,0.6666666666666666
1,full,FT_K1,signed_sum,sentences,4,4,1163,0.75,1.0,0.8571428571428571,0.0,1.0,3,4,3,130,0,4,0,1.0,1.0
1,full,FT_K1,signed_sum,sentences,8,8,1163,0.375,1.0,0.5454545454545454,0.0,1.0,3,8,3,256,0,8,0,1.0,1.0
1,full,FT_K1,positive_mean_eligible,all_body_tokens,0.05,59,1163,1.0,0.6666666666666666,0.8,0.0,0.0,2,2,3,52,7,2,0,0.5842696629213483,0.6666666666666666
1,full,FT_K1,positive_mean_eligible,all_body_tokens,0.1,117,1163,0.75,1.0,0.8571428571428571,0.0,1.0,3,4,3,117,0,4,0,1.0,1.0
1,full,FT_K1,positive_mean_eligible,all_body_tokens,0.2,233,1163,0.375,1.0,0.5454545454545454,0.0,1.0,3,8,3,205,28,8,0,1.0,1.0
1,full,FT_K1,positive_mean_eligible,sentences,2,2,1163,1.0,0.6666666666666666,0.8,0.0,0.0,2,2,3,52,0,2,0,0.5842696629213483,0.6666666666666666
1,full,FT_K1,positive_mean_eligible,sentences,4,4,1163,0.75,1.0,0.8571428571428571,0.0,1.0,3,4,3,117,0,4,0,1.0,1.0
1,full,FT_K1,positive_mean_eligible,sentences,8,8,1163,0.375,1.0,0.5454545454545454,0.0,1.0,3,8,3,205,0,8,0,1.0,1.0
1,full,FT_K3,signed_sum,all_body_tokens,0.05,59,1163,1.0,0.3333333333333333,0.5,0.0,0.0,1,1,3,42,17,1,0,0.47191011235955055,0.6666666666666666
1,full,FT_K3,signed_sum,all_body_tokens,0.1,117,1163,1.0,1.0,1.0,1.0,1.0,3,3,3,89,28,3,0,1.0,1.0
1,full,FT_K3,signed_sum,all_body_tokens,0.2,233,1163,0.5,1.0,0.6666666666666666,0.0,1.0,3,6,3,194,39,6,0,1.0,1.0
1,full,FT_K3,signed_sum,sentences,2,2,1163,1.0,0.6666666666666666,0.8,0.0,0.0,2,2,3,79,0,2,0,0.8876404494382022,0.6666666666666666
1,full,FT_K3,signed_sum,sentences,4,4,1163,0.75,1.0,0.8571428571428571,0.0,1.0,3,4,3,130,0,4,0,1.0,1.0
1,full,FT_K3,signed_sum,sentences,8,8,1163,0.375,1.0,0.5454545454545454,0.0,1.0,3,8,3,256,0,8,0,1.0,1.0
1,full,FT_K3,positive_mean_eligible,all_body_tokens,0.05,59,1163,1.0,0.6666666666666666,0.8,0.0,0.0,2,2,3,52,7,2,0,0.5842696629213483,0.6666666666666666
1,full,FT_K3,positive_mean_eligible,all_body_tokens,0.1,117,1163,0.75,1.0,0.8571428571428571,0.0,1.0,3,4,3,117,0,4,0,1.0,1.0
1,full,FT_K3,positive_mean_eligible,all_body_tokens,0.2,233,1163,0.3333333333333333,1.0,0.5,0.0,1.0,3,9,3,222,11,9,0,1.0,1.0
